TestName,Technology,Disable,Production,Audit,Thread,Policy,Loop,Sample,SOF,Condition,Notes
LED_INPROGRESS_ON,Fixture,,Y,,,,,,,,
Channel,Fixture,,Y,,,,,,,,
HardwareCheck,Fixture,,Y,,,,,,,,
GeneralAction,Fixture,,Y,,,,,,,,
HardwareCheck_1,Fixture,,Y,,,,,,Y,,
SoftwareCheck_1,Fixture,,Y,,,,,,,,
HardwareCheck_2,Fixture,,Y,,,,,,,,
Discharge_Initial,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBAT0V8,Power,,Y,,,,,,Y,,
Discharge_Initial_1,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBUS1V25,Power,,Y,,,,,,Y,,
Discharge_Initial_2,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBAT4V3,Power,,Y,,,,,,Y,,
Discharge_BatteryFloat,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBAT0V4,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBUS5V,Power,,Y,,,,,,Y,,
Discharge_Initial_3,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBUS5V_1,Power,,Y,,,,,,,,
On_Seq,Power,,Y,,,,,,,,
FWDL_ACEFlash_SPI_VBAT4V3_VBUS5V,USBC,Y,Y,,,,,,Y,,
ForceDFU_VDM,USBC,,Y,,,,,,,,
Transition_Diags_DeadBattery2V5,Process,,Y,,,,,,Y,,
Syscfg_SanityCheck_MLBSN,DUTInfo,Y,Y,,,,,,,,
MLBSN,DUTInfo,,Y,,,,,,Y,,
CB_Start,Process,,Y,,,,,,,,
CB,Process,,Y,,,,,,,,
Transition_Diags_VBAT4V3,Process,,Y,,,,,,,,
GPIOCheck,PMU,,Y,,,,,,,,
Transition_Diags_VBAT4V3_1,Process,,Y,,,,,,Y,,
SwitchOver_VBUS5V_NoOrionPWR,Power,,Y,,,,,,,,
Button_Sera,PMU,,Y,,,,,,,,
ProjectCode,DUTInfo,,Y,,,,,,,,
Site,DUTInfo,,Y,,,,,,,,
BoardID,DUTInfo,,Y,,,,,,,,
BootConfig,DUTInfo,,Y,,,,,,,,
BoardRevision,DUTInfo,,Y,,,,,,,,
Info,SOC,,Y,,,,,,Y,,
Info_Sera,PMU,,Y,,,,,,,,
Info_Simetra,PMU,,Y,,,,,,,,
Info_Potomac,BatteryCharger,,Y,,,,,,,,
GeneralAction_1,Fixture,,Y,,,,,,,,
FWDL_ACE,USBC,,Y,,,,,,Y,,
PrivacyLogic_HallUntriggered,Mic,,Y,,,,,Mic_PrivacyLogic,,,
PrivacyLogic_HallTriggered,Mic,,Y,,,,,Mic_PrivacyLogic,,,
PrivacyLogic_HallUntriggered_1,Mic,,Y,,,,,Mic_PrivacyLogic,,,
VoltageCheck_Active,Power,,Y,,,,,,,,
Boost_FeedbackHW_VBAT4V3,Touch,,Y,,,,,,,,
Boost_On_VBAT3V7_VBUSOff,Touch,,Y,,,,,Touch_Boost_PFM_PWM_VBAT3V7_VBUSOff,,,
Boost_PFM_VBAT3V7_VBUSOff,Touch,,Y,,,,,Touch_Boost_PFM_PWM_VBAT3V7_VBUSOff,,,
Boost_PWM_VBAT3V7_VBUSOff,Touch,,Y,,,,,Touch_Boost_PFM_PWM_VBAT3V7_VBUSOff,,,
Boost_Off_VBAT3V7_VBUSOff,Touch,,Y,,,,,Touch_Boost_PFM_PWM_VBAT3V7_VBUSOff,,,
Backlight_MinBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,,,,
Backlight_MinBrightness_PWMMode_VBAT3V2,Display,,Y,,,,,,Y,,
Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display,,Y,,,,,,Y,,
Backlight_MedBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,,Y,,
Backlight_MaxBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,,Y,,
Backlight_MaxBrightness_PWMMode_VBAT3V2,Display,,Y,,,,,,Y,,
Backlight_MaxBrightness_PWMMode_VBAT4V3_1,Display,,Y,,,,,,,,
ContactContamination_PWR_GND_150K_4uA,Orion,,Y,,,,,,,,
ContactContamination_PWR_GND_150K_4uA_1,Orion,,Y,,,,,Orion_ContactContamination,,,
ContactContamination_PWR_GND_150K_4uA_2,Orion,,Y,,,,,,,,
ContactContamination_PWR_GND_150K_4uA_3,Orion,,Y,,,,,Orion_ContactContamination,,,
ContactContamination_Data_GND_150K_4uA,Orion,,Y,,,,,Orion_ContactContamination,,,
ContactContamination_Data_PWR_150K_4uA,Orion,,Y,,,,,Orion_ContactContamination,,,
ContactContamination_Data_PWR_150K_4uA_1,Orion,,Y,,,,,,,,
ConsumerModeLSAIDComms_PPVBUS_ORION_5V,Orion,,Y,,,,,,,,
GPIOCheck_1,PMU,,Y,,,,,,,,
ConsumerModeLSAIDComms_PPVBUS_ORION_5V_1,Orion,,Y,,,,,,,,
SwitchOver_PPVBUS_ORION_5V_NoVBUS,Power,,Y,,,,,,,,
ConsumerModeADCRead_PPVBUS_ORION_5V,Orion,,Y,,,,,Orion_ConsumerModeADCRead,,,
ConsumerModeCharging_PPVBUS_ORION_5V1A,Orion,,Y,,,,,Orion_ConsumerModeADCRead,,,
ConsumerModeCharging_PPVBUS_ORION_9V3A,Orion,,Y,,,,,,,,
SwitchOver_PPVBUS_ORION_9V_NoVBUS,Power,,Y,,,,,,,,
ConsumerModeCharging_PPVBUS_ORION_9V3A_1,Orion,,Y,,,,,,,,
SwitchOver_PPVBUS_ORION_9V,Power,,Y,,,,,,,,
ProviderModeLSAIDComms_Boost5V,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload0A,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload50mA,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload250mA,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload500mA,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload1000mA,Orion,,Y,,,,,,,,
ProviderModeiLimit_Boost5V_CVEload2000mA,Orion,,Y,,,,,,,,
BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Orion,,Y,,,,,,,,
ProviderModeOCP_Boost5V_CCEload2000mA,Orion,,Y,,,,,Orion_ProviderModeOCP_Boost5V_CCEload2000mA,,,
BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Orion,,Y,,,,,,,,
ProviderModeDCR_Boost5V_CCEload1500mA,Orion,,Y,,,,,Orion_ProviderModeDCR_Boost5V_CCEload1500mA,,,
ProviderModeDCR_Boost5V_CCEload1500mA_1,Orion,,Y,,,,,,,,
ADCRead_IsolateMode_VBUS0V,Orion,,Y,,,,,,,,
ConsumerModeHSAIDComms_PPVBUS_ORION_9V3A,Orion,,Y,,,,,,,,
FrequencyCheck,PMU,,Y,,,,,,,,
FrequencyCheck_1,SOC,,Y,,,,,,,,
BatteryChargeStatus_VBUS5V,BatteryCharger,,Y,,,,,,,,
BrickConnectStatus_VBUS5V,BatteryCharger,,Y,,,,,,,,
Button_Sera_HoldKey_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
Button_Sera_VolumeUp_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
Button_Sera_VolumeDown_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
BatteryTemperatureSense_Normal,BatteryCharger,,Y,,,,,,,,
BatteryTemperatureSense_Hot,BatteryCharger,,Y,,,,,,,,
BatteryTemperatureSense_Cold,BatteryCharger,,Y,,,,,,,,
BatteryTemperatureSense_Normal_1,BatteryCharger,,Y,,,,,,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOff,Power,,Y,,,,,,Y,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTOn_BBOff,Power,,Y,,,,,,Y,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIOn_BTOff_BBOn,Power,,Y,,,,,,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOn,Power,,Y,,,,,,Y,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIOn_BTOff_BBOn_1,Power,,Y,,,,,,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTOff_BBOn,Power,,Y,,,,,,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOff_1,Power,,Y,,,,,,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS,Power,,Y,,,,,,Y,,
TrickleCharge_VBAT2V8_VBUS5V,BatteryCharger,,Y,,,,,,,,
TrickleCharge_VBAT3V2_VBUS5V,BatteryCharger,,Y,,,,,,,,
ChargeModeThreshold_VBUS5V_IBATT2000mA,BatteryCharger,,Y,,,,,,,,
ChargeModeThreshold_VBUS5V,BatteryCharger,,Y,,,,,,,,
StopCharge_VBUS5V,BatteryCharger,,Y,,,,,,,,
BatteryRechargeThreshold_VBUS5V,BatteryCharger,,Y,,,,,,,,
Temperature,SOC,,Y,,,,,SOC_PMU_Temperature,,,
Temperature_Sera,PMU,,Y,,,,,SOC_PMU_Temperature,,,
Temperature_Simetra,PMU,,Y,,,,,SOC_PMU_Temperature,,,
Calibration_IbusLimit_PDSink_CVT_CC_VBAT3V8_VBUS5V,BatteryCharger,,Y,,,,,,Y,,
Calibration_IbusLimit_PDSink_CVT_CC_VBAT3V8_VBUS9V,BatteryCharger,,Y,,,,,,Y,,
Calibration_IbusLimit_PDSink_CVT_CC_VBAT3V8_VBUS12V,BatteryCharger,,Y,,,,,,Y,,
Calibration_IbusLimit_PDSink_CVT_CC_VBAT3V8_VBUS15V,BatteryCharger,,Y,,,,,,Y,,
BuckBoostEfficiency_VBAT4V35_PPVBUS_PROT_4V25,BatteryCharger,,Y,,,,,,,,
BuckBoostEfficiency_VBAT4V35_PPVBUS_PROT_4V25_1,BatteryCharger,,Y,,,,,BatteryCharger_BuckBoostEfficiency_VBAT4V35_PPVBUS_PROT_4V25,Y,,
BoostEfficiency_VBAT3V2_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_BoostEfficiency_VBAT3V2_VBUS5V,Y,,
IbattLimit_Constant_I_VBAT3V9_VBUS15V,BatteryCharger,,Y,,,,,,Y,,
LDCM_Initial,USBC,,Y,,,,,,,,
LDCM_MUX_Off,USBC,,Y,,,,,,,,
LDCM_ZREF_110Hz,USBC,,Y,,,,,,,,
LDCM_Trace_Open,USBC,,Y,,,,,,,,
LDCM_Trace_1nF,USBC,,Y,,,,,,,,
LDCM_Trace_2nF,USBC,,Y,,,,,,,,
LDCM_Trace_3nF,USBC,,Y,,,,,,,,
LDCM_Trace_1M,USBC,,Y,,,,,,,,
LDCM_Trace_1M5,USBC,,Y,,,,,,,,
LDCM_Trace_300K1nF5,USBC,,Y,,,,,,,,
LDCM_Trace_10K200nF,USBC,,Y,,,,,,,,
LDCM_ACESBU1_Open,USBC,,Y,,,,,,,,
LDCM_ACESBU1_1nF,USBC,,Y,,,,,,,,
LDCM_ACESBU1_2nF,USBC,,Y,,,,,,,,
LDCM_ACESBU1_3nF,USBC,,Y,,,,,,,,
LDCM_ACESBU1_1M,USBC,,Y,,,,,,,,
LDCM_ACESBU1_1M5,USBC,,Y,,,,,,,,
LDCM_ACESBU1_300K1nF5,USBC,,Y,,,,,,,,
LDCM_ACESBU1_10K200nF,USBC,,Y,,,,,,,,
LDCM_ACESBU2_Open,USBC,,Y,,,,,,,,
LDCM_ACESBU2_1nF,USBC,,Y,,,,,,,,
LDCM_ACESBU2_2nF,USBC,,Y,,,,,,,,
LDCM_ACESBU2_3nF,USBC,,Y,,,,,,,,
LDCM_ACESBU2_1M,USBC,,Y,,,,,,,,
LDCM_ACESBU2_1M5,USBC,,Y,,,,,,,,
LDCM_ACESBU2_300K1nF5,USBC,,Y,,,,,,,,
LDCM_ACESBU2_10K200nF,USBC,,Y,,,,,,,,
LDCM_Loopback,USBC,,Y,,,,,USBC_LDCM_Loopback,,,
LDCM_PDM_Loopback,USBC,,Y,,,,,,,,
LDCM_MUX_Off_1,USBC,,Y,,,,,,,,
LDCM_Trace_Default,USBC,,Y,,,,,,,,
LDCM_Trace_OVP5V,USBC,,Y,,,,,,,,
LDCM_Trace_OVP0V,USBC,,Y,,,,,,,,
LDCM_Trace_OVP17V,USBC,,Y,,,,,,,,
LDCM_Trace_OVP0V_1,USBC,,Y,,,,,,,,
LDCM_Trace_Default_1,USBC,,Y,,,,,,,,
LDCM_End,USBC,,Y,,,,,,,,
LDCM_Initial_CC1Enabled_VBUSOn,USBC,,Y,,,,,,,,
LDCM_CC1Disabled_VBUSOff,USBC,,Y,,,,,,,,
LDCM_CC1Enabled_VBUSOn,USBC,,Y,,,,,,,,
FR_DmicC3_PDM1KHz,Mic,,Y,,,,,,,,
FR_DmicC3_PDM1KHz_1,Mic,,Y,,,,,Mic_FR_DmicC3_FHC_PDM1KHz,,,
FR_DmicFHC_PDM1KHz,Mic,,Y,,,,,Mic_FR_DmicC3_FHC_PDM1KHz,,,
Boost,Speaker,,Y,,,,,,Y,,
Boost_IDLE,Speaker,,Y,,,,,,,,
Boost_1,Speaker,,Y,,,,,,,,
AmpIVSense_CNWoofer,Speaker,,Y,,,,,,Y,,
AmpIVSense_CNWoofer_IDLE,Speaker,,Y,,,,,,Y,,
AmpIVSense_FHWoofer,Speaker,,Y,,,,,,Y,,
AmpIVSense_FHWoofer_IDLE,Speaker,,Y,,,,,,Y,,
AmpIVSense_CNWoofer_4R_VBAT4V3,Speaker,,Y,,,,,,Y,,
AmpIVSense_FHWoofer_4R_VBAT4V3,Speaker,,Y,,,,,,Y,,
AmpIVSense_CNWoofer_4R_VBAT4V3_1,Speaker,,Y,,,,,,Y,,
AmpIVSense_FHWoofer_4R_VBAT4V3_1,Speaker,,Y,,,,,,Y,,
Boost_BrownoutThreshold3V5,Speaker,,Y,,,,,,Y,,
Boost_CNWooferToBoost_IDLE,Speaker,,Y,,,,,,Y,,
Boost_CNWooferToBoost_TONE,Speaker,,Y,,,,,,,,
Boost_FHWooferToBoost_IDLE,Speaker,,Y,,,,,,Y,,
Boost_FHWooferToBoost_TONE,Speaker,,Y,,,,,,,,
Boost_IRQPin_VBAT4V3,Speaker,,Y,,,,,,Y,,
AmpIVSense_FHWoofer_IRQPin,Speaker,,Y,,,,,,,,
AmpIVSense_CNWoofer_IRQPin,Speaker,,Y,,,,,,,,
Discharge_SpeakerBoost,Power,,Y,,,,,,Y,,
PerfState_VBUSOff_VBAT4V3,SOC,,Y,,,,,,,,
PerfState_State0_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State1_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State2_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State3_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State4_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State5_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State6_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State7_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State8_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State9_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State10_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State11_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State12_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State13_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State14_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State15_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State16_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State17_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State18_VBAT4V3,SOC,,Y,,,,,,Y,,
PerfState_State19_VBAT4V3,SOC,,Y,,,,,,Y,,
CurrentCheck_Hibernation,Power,,Y,,,,,,,,
VoltageCheck_Hibernation,Power,,Y,,,,,,,,
VoltageCheck_Wakeup,Power,,Y,,,,,,,,
Transition_Diags_WakeUp_VBAT4V3_VBUS5V,Process,,Y,,,,,,,,
USB2.0DataTransferSanity_TOP_PDSourceCC1,USBC,,Y,,,,,,,,
USB2.0DataTransferSanity_TOP_PDSourceCC1_1,USBC,,Y,,,,,USBC_USB2.0DataTransferSanity_PDSourceCC,,,
USB2.0DataTransferSanity_BOT_PDSourceCC2,USBC,,Y,,,,,USBC_USB2.0DataTransferSanity_PDSourceCC,,,
USB2.0DataTransferSanity_BOT_PDSourceCC2_1,USBC,,Y,,,,,,,,
USBSSPresence_Pair1_PDSourceSS,USBC,,Y,,,,,,,,
USBSSPresence_Pair1_PDSourceSS_1,USBC,,Y,,,,,USBC_USB3.0_Pair1-PD_SRC_SS,,,
USBSSPresence_Pair1_PDSourceSS_2,USBC,,Y,,,,,,,,
USBSSPresence_Pair1_PDSourceSS_3,USBC,,Y,,,,,USBC_USB3.0_Pair1-PD_SRC_SS,,,
USBSSPresence_Pair1_PDSourceSS_4,USBC,,Y,,,,,,Y,,
USBSSPresence_Pair1_PDSourceSS_5,USBC,,Y,,,,,USBC_USB3.0_Pair1-PD_SRC_SS,,,
PDSource_VBUS_CREload1A5_CC1,USBC,,Y,,,,,,,,
Boost_ACE_PDSource_VBAT4V3_CCEload0mA,USBC,,Y,,,,,,Y,,
Boost_ACE_PDSource_VBAT4V3_CCEload1A5,USBC,,Y,,,,,,Y,,
USBSSPresence_Pair2_PDSourceSS,USBC,,Y,,,,,,,,
USBSSPresence_Pair2_PDSourceSS_1,USBC,,Y,,,,,USBC_USB3.0_Pair2-PD_SRC_SS,,,
PDSource_VCON_CC1_CCEload400mA,USBC,,Y,,,,,,,,
PDSource_VCON_CC2_CC450mA_VBUS_CR1A5,USBC,,Y,,,,,,Y,,
GPIOCheck_2,SOC,,Y,,,,,SOC_I2CConnectivity_I2C,,,
Calibration_IbusLimit_PDSink_HCCM_CC_VBAT3V9_VBUS5V3A,BatteryCharger,,Y,,,,,,,,
Calibration_IbusLimit_PDSink_HCCM_CC_VBAT4V3_VBUS5V3A,BatteryCharger,,Y,,,,,,,,
Calibration_IbusLimit_PDSink_HCCM_CC_VBAT4V3_VBUS12V3A,BatteryCharger,,Y,,,,,,,,
Calibration_IbusLimit_PDSink_HCCM_CC_VBAT4V3_VBUS15V2A5,BatteryCharger,,Y,,,,,,,,
Syscfg_CBAT,BatteryCharger,,Y,,,,,,,,
GPIOCheck_3,PMU,,Y,,,,,,,,
GPIOCheck_4,Touch,,Y,,,,,,,,
GPIOCheck_5,PMU,,Y,,,,,,,,
GPIOCheck_6,Mesa,,Y,,,,,,,,
GPIOCheck_7,SOC,,Y,,,,,,,,
VBUSDetect_VBUS4V5,USBC,,Y,,,,,,,,
CB_Finish,Process,,Y,,,,,,,,
CurrentCheck_ShutDown,Power,,Y,,,,,,,,
GeneralAction_2,Fixture,,Y,,,,,,,,
Discharge_End,Power,,Y,,,,,,,,
VoltageCheck_Safety_VBAT4V3_1,Power,,Y,,,,,,,,
GeneralAction_3,Fixture,,Y,,,,,,,,
Discharge_End_1,Power,,Y,,,,,,,,
