TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
PrivacyLogic_HallUntriggered,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""GPIO_APANEL_HALL_TO_PMU_IRQ_BUF_L_HIGH_PRE"",""pattern"": ""unit%s*%d%s*pin%s*%d%.%d%s*%:%s*(%d)"",""parametric"": ""yes""}",,,egpio -p pmu -n 2 -r,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""GPIO_CPANEL_HALL_TO_PMU_IRQ_BUF_L_HIGH"",""pattern"": ""unit%s*%d%s*pin%s*%d%.%d%s*%:%s*(%d)"",""parametric"": ""yes""}",,,egpio -p pmu -n 4 -r,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""SLG_TO_AOP_DMIC_DISABLE_WARN_L_HIGH"",""pattern"": ""0x0007420(%x)"",""parametric"": ""yes""}",,,memrw --32 0x23d1f0054,,,
,Common:readGPIOState,,,,,,"{""subsubtestname"":""GPM_DMIC_DIASBLE_L_HIGH"",""netname"":""GPM_DMIC_DISABLE_L"",""reference"":""1200""}",,,,,,
,Common:relaySwitch,,,,,,"{""subsubtestname"":""DMIC_C3_CONNECT"",""netname"":""ZYNQ_PDM"",""state"":""TO_PDM_DMIC_C3_CONN"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_500MS_1"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""Output_pdm_Dmic2"",""record"":""NO""}",,,pdm.enable(1000*-100*2400000),,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_100MS"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""PDM_DMIC_C3_CONN_High"",""pattern"": ""unit%s*%d%s*pin%s*%d%.%d+%s*%:%s*(%d)"",""parametric"": ""yes""}",,,egpio -p aop -n 35 -r,,,
,Common:relaySwitch,,,,,,"{""subsubtestname"":""DMIC_C3_DISCONNECT"",""netname"":""ZYNQ_PDM"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
PrivacyLogic_HallTriggered,Common:relaySwitch,,,,,,"{""subsubtestname"":""Electromagnet_ON"",""netname"":""HALL_CONTROL"",""state"":""SEL_NORTH"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_500MS_2"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""GPIO_CPANEL_HALL_TO_PMU_IRQ_BUF_L_LOW"",""pattern"": ""unit%s*%d%s*pin%s*%d%.%d%s*%:%s*(%d)"",""parametric"": ""yes""}",,,egpio -p pmu -n 4 -r,,,
