TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
Boost,Common:relaySwitch,,,,,,"{""subsubtestname"":""DIS_Connect_USB_power"",""netname"":""VBUS_OUTPUT_CTL"",""state"":""OFF"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_200MS_1"",""delay"":""200"",""record"":""NO""}",,,,,,
,Common:relaySwitch,,,,,,"{""subsubtestname"":""CC_Disconn"",""netname"":""VDM_CC1"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""IBATT_CHECK_DEBUG_speaker_start_Borris"",""netname"":""BATT_CURRENT_BIG"",""fa_sof"":""YES""}",,,,FA_ResetAll,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Audio_Reset"",""record"":""NO""}",,,audio -r,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""IBATT_CHECK_DEBUG_speaker_start_Borris2"",""netname"":""BATT_CURRENT_BIG"",""fa_sof"":""YES""}",,,,FA_ResetAll,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Revision_ID"",""pattern"": ""0x04%s*=%s*(0x%x*)"",""attribute"": ""SPK_BOOST_MASTER_REV_ID""}",,,audioreg -r -b boost-master -a 0x4,,,
,Common:sendCmdAndParse,,,(audioreg),,,"{""subsubtestname"": ""OTP_REV_CHECK"",""pattern"": ""0x10%s*=%s*(0x%x*)"",""parametric"": ""yes"",""bit"": ""0"",""return_val"": ""raw""}",,,audioreg -b boost-master --dump,,,
,Common:parseWithRegexString,,(audioreg),,,,"{""subsubtestname"": ""Borris_OTP_REV"",""pattern"": ""0x10%s*=%s*(0x%x*)"",""attribute"": ""SPK_BOOST_MASTER_OTP_REV""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_150MS"",""delay"":""150"",""record"":""NO""}",,,,,,
Boost_IDLE,Tech:sendBoostMaintenanceCmd,,,,,,"{""subsubtestname"": ""Maintenance_Check"",""pattern"": ""0x2814%s*=%s*(0x%x*)""}",,,audioreg -r -b boost-master -a 0x2814,,,
Boost_1,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Log_Borris_ILIM_Settings"",""pattern"": ""0x4800%s*=%s*(0x%x*)""}",,,audioreg -r -b boost-master -a 0x4800,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Log_Borris_Brownout_Voltage_Settings"",""pattern"": ""0x4804%s*=%s*(0x%x*)""}",,,audioreg -r -b boost-master -a 0x4804,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""Log_Borris_Battery_Voltage_Seen"",""netname"":""PPBATT_VCC"",""unit"":""mV""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""Log_Borris_Boost_Voltage_Seen"",""netname"":""PPV_BST_AUDIO"",""unit"":""mV""}",,,,,,
