TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
Restore,Tech:restore,,[Location_ID],,1500,,"{""subsubtestname"": ""Restore_complete""}",,,,,
Delay_For_Restore_Async,Tech:delayToStartRestore,,,,,,"{""delay_per_slot"": 10}",,,,,
TotalChannelCount,Common:totalChannelCount,,,,,,,,,,,
SyncForAllChannel,Common:syncForAllChannel,,,,150,,,,,,,
Kernel_panic,Tech:kernel_panic,,,"[stopTestFlag_Kernel_panic],[Kernel_panic_Ret]",,,"{""hangTimeout_s"": 125}",Y,,,,
Supply_ace_provisioning_power,Tech:Supply_ace_provisioning_power,,,,,,,,,,,
NonUI-DCSD,Tech:checkBoardType,,,{board_type},,,"{""subsubtestname"": ""MLB_Type"", ""expect"": ""Board ID: 0x6"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Waiting_Position_percentage"", ""expect"": ""Waiting, position %%d"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""DFU_download"", ""expect"": ""DFU download %(99%% complete%)"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Booting"", ""expect"": ""Sending kernel cache to device"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Personalizing_Restore_Bundle"", ""expect"": ""Personalizing restore bundle"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Setting_Date_and_Time"", ""expect"": ""Setting date and time on device"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Loading_Firmware_To_Flash"", ""expect"": ""Loading firmware data to flash"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Waiting_for_NAND"", ""expect"": ""Waiting for NAND"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Updating_NAND_Firmware"", ""expect"": ""CHECKPOINT END: RESTORED:%[0x060E%] update_NAND_firmware"",""log_device"":""restore""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Creating_Partition_Map"", ""expect"": ""Creating partition map"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Restoring_image"", ""expect"": ""Restoring image %(100%% complete%)"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Verifying_restore"", ""expect"": ""Verifying restore %(100%% complete%)"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Flashing_firmware"", ""expect"": ""Flashing firmware %(100%% complete%)"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Updating_gas_gauge_software"", ""expect"": ""CHECKPOINT END: FIRMWARE:%[0x1301%] update_gas_gauge"",""log_device"":""restore""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Updating_Stockholm"", ""expect"": ""CHECKPOINT END: FIRMWARE:%[0x1304%] update_stockholm"",""log_device"":""restore""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Updating_baseband"", ""expect"": ""CHECKPOINT END: FIRMWARE:%[0x1303%] update_baseband"",""log_device"":""restore""}",,,,,board_type==MLB_B
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Updating_SE_Firmware"", ""expect"": ""CHECKPOINT END: FIRMWARE:%[0x1309%] update_se"",""log_device"":""restore""}",,,,,
