TestName,Technology,Disable,Production,Audit,Thread,Loop,Sample,CoF,Condition
Fixture_SetUp,Fixture,,Y,,,,,,
LED_INPROGRESS_ON,Fixture,,Y,,,,,,
SET_FAN_SPEED_100,Fixture,,Y,,,,,,
Initial,FixtureSafety,,Y,,,,,,
VBATT_LV_Short_Check,FixtureSafety,,Y,,,,,SOF,
VBUS_Short_Check,FixtureSafety,,Y,,,,,SOF,
VBATT_RESET_CURRENT_Check,FixtureSafety,,Y,,,,,SOF,
Delay_For_Restore_Async,Restore,,Y,,,,,,
DFU_Power_On,Power,,Y,,,,,,
Enter_DFU-Initial,System,,Y,,,,,SOF,
TotalChannelCount,Restore,Y,Y,,,,,,
Restore,Restore,,Y,,1a,,,,
Kernel_panic,Restore,,Y,,1b,,,,
NonUI-DCSD,Restore,,Y,,1c,,,,
SyncForAllChannel,Restore,Y,Y,,,,,,
Restore_check_SOF,Restore,,Y,,,,,SOF,
Iboot_Power_On,Power,,Y,,,,,,
Enter_Diags-Initial,System,,Y,,,,,SOF,
SOC_Thermal-OffOn,SystemState,,Y,,,,,SOF,
RTOS,SystemState,,Y,,,,,SOF,
RBM,SystemState,,Y,,,,,SOF,
SOC,DUTInfo,,Y,,,,,,
SOC-P,DUTInfo,,Y,,,,,,
RTC,DUTInfo,,Y,,,,,,
SN,DUTInfo,,Y,,,,,,
startProcessControl,DUTInfo,,Y,,,,,,
CFG,DUTInfo,,Y,,,,,,
CB-Incomplete,DUTInfo,,Y,,,,,,
Initial-Test,SEP,,Y,,,,,,
Smokey_Test-Pad_DFU,Smokey,,Y,,,,,SOF,
Syscfg_Check-RFEM_sanity_check,System,,Y,,,,,,
Syscfg_Check-WSKU_sanity_check,System,,Y,,,,,,mlb_type==MLB_B
Smokey_PCIe_EYE,Smokey,,Y,,,,,,
Smokey_PCIe_EYE_Sec,Smokey,,Y,,,,,,
SET_FAN_SPEED_0,Fixture,,Y,,,,,,
LOAD,Dimension,,Y,,,,,,
General_Info,Nand,,Y,,dims0,,,,
Shorts_Test-Initial,Grape,,Y,,dims0,,,SOF,
Firmware_Load-Diags,Grape,,Y,,dims0,,,,
AMP_Initial-Reset,Speaker,,Y,,dims0,,,SOF,
Baseband_Firmware_Load-Diags,Baseband,,Y,,dims0,,,,mlb_type==MLB_B
GBB_Test,Nand,,Y,,dims0,,,,
ANS_health_check,Nand,,Y,,dims0,,,,
Initial-Test_End,SEP,,Y,,dims0,,,,
Connect,Dimension,,Y,,dims1,,,,
Sensor_Vendor,Accelerometer,,Y,,dims1,,,,
Type,Accelerometer,,Y,,dims1,,,,
Accel_Only_Test,Accelerometer,,Y,,dims1,,,,
accel_only_test_fail,Accelerometer,,Y,,dims1,,,,accel_selftest_result==FAIL
accel_only_test_sec,Accelerometer,,Y,,dims1,,,,
accel_gyro_combo_mode_test,Gyro,,Y,,dims1,,,,
Phosphorus_Test,PressureSensor,,Y,,dims1,,,,
WiFi_Firmware_Load-Diags,WiFi,,Y,,dims1,,,,
BT_Firmware_Load-Diags,BT,,Y,,dims1,,,,
Firmware_Load-End,WiFi,,Y,,dims1,,,,
Stockholm-General_Test,NFC,,Y,,dims1,,,,
CB,DUTInfo,,Y,,,,,,
finishProcessControl_DFU,DUTInfo,,Y,,,,,,
Power_OFF,Power,,Y,,,,,,
