TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
Sensor_Vendor,Common:sendCmdAndCreateRecord,,,[listsensors_resp],10,,"{""subsubtestname"": ""read_vendor"",""dutPluginName"":""dimension_dut""}",,,"sensor --listsensors",,
,Common:regexParseString,,[listsensors_resp],,,,"{""subsubtestname"": ""accel_vendor"", ""attribute"":""Accel_vendor"",""pattern"": ""Name: accel\\s+Description:\\s+(\\w+)\\s+""}",,,,,
,Common:regexParseString,,[listsensors_resp],,,,"{""subsubtestname"": ""gyro_vendor"", ""attribute"":""Gyro_vendor"",""pattern"": ""Name: gyro\\s+Description:\\s+(\\w+)\\s+""}",,,,,
Type,Common:regexParseString,,[listsensors_resp],,,,"{""subsubtestname"": ""inertial_type"", ""attribute"": ""Inertial_Type"",""pattern"": ""Name: accel\\s+Description:\\s+([\\s\\w]+)\\s+Accelerometer""}",,,,,
accel_only_test_sec,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --init",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set rate 100",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set dynamic_range 8",,
,Common:sendCmdAndCreateRecord,,,(accel_only_test_sec_resp),10,,"{""subtestname"": ""Accel_Only_Test"",""subsubtestname"": ""accel_only_test_sec"",""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --sample 500ms --stats",,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""AVG-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_average_x"",""pattern"": ""average: X = (-?[0-9.]+), Y = -?[0-9.]+, Z = -?[0-9.]+, T = -?[0-9.]+""}",,,,,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""AVG-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_average_y"",""pattern"": ""average: X = -?[0-9.]+, Y = (-?[0-9.]+), Z = -?[0-9.]+, T = -?[0-9.]+""}",,,,,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""AVG-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_average_z"",""pattern"": ""average: X = -?[0-9.]+, Y = -?[0-9.]+, Z = (-?[0-9.]+), T = -?[0-9.]+""}",,,,,
