TestName,Technology,Disable,Production,Audit,Thread,Policy,Loop,Sample,SOF,Condition,Notes
enableSampling,Process,,Y,,,,,,,,
LED_INPROGRESS_ON,Fixture,,Y,,,,,Fixture_LED,,,
Channel,Fixture,,Y,,,,,Fixture_Channel,,,
VendorID,Fixture,,Y,,,,,Fixture_Vendor_ID,,,
Station,Fixture,,Y,,,,,Fixture_Station,,,
AceFW_Mac,Fixture,,Y,,,,,Fixture_AceFW_Mac,,,
AceFW_Xavier,Fixture,,Y,,,,,Fixture_AceFW_Xavier,,,
Initialization,Fixture,,Y,,,,,Fixture_Initialization,,,
PresenceCheck,Fixture,,Y,,,,,Fixture_PresenceCheck,,,
Fixture_SN,Fixture,,Y,,,,,Fixture_FixtureSN,,,
VDM_SN,Fixture,,Y,,,,,Fixture_FixtureSN,,,
Eload_SN,Fixture,,Y,,,,,Fixture_FixtureSN,,,
Scope_SN,Fixture,,Y,,,,,Fixture_FixtureSN,,,
OAB3_SN,Fixture,,Y,,,,,Fixture_FixtureSN,,,
FWCheck,Fixture,,Y,,,,,Fixture_FWCheck,,,
IPCheck,Fixture,,Y,,,,,Fixture_IPCheck,,,
Discharge_Initial,Power,,Y,,,,,Power_Discharge_Initial,,,
VoltageCheck_Safety_VBAT0V8,Power,,Y,,,,,Power_VoltageCheck_Safety_VBAT0V8,,,
Discharge_Initial_1,Power,,Y,,,,,Power_Discharge_Initial_1,,,
VoltageCheck_Safety_VBUS1V25,Power,,Y,,,,,Power_VoltageCheck_Safety_VBUS1V25,,,
Discharge-Initial_2,Power,,Y,,,,,Power_Discharge_Initial_2,,,
VoltageCheck_Safety_VBAT4V3,Power,,Y,,,,,Power_VoltageCheck_Safety_VBAT4V3,,,
Discharge_BatteryFloat,Power,,Y,,,,,Power_Discharge_BatteryFloat,,,
VoltageCheck_Safety_VBAT0V4,Power,,Y,,,,,Power_VoltageCheck_Safety_VBAT0V4,,,
VoltageCheck_Safety_VBUS5V,Power,,Y,,,,,Power_VoltageCheck_Safety_VBUS5V,,,
Discharge_Initial_3,Power,,Y,,,,,Power_Discharge_Initial_3,,,
VoltageCheck_Safety_VBUS5V_1,Power,,Y,,,,,Power_VoltageCheck_Safety_VBUS5V_1,,,
On_Seq,Power,,Y,,,,,Power_On_Seq,,,
AceFWDL_SPI_VBAT4V3_VBUS5V,USBC,,Y,,,,,USBC_AceFWDL_SPI_VBAT4V3_VBUS5V,,,
ForceDFU_VDM,USBC,,Y,,,,,USBC_ForceDFU_VDM,,,
Transition_Diags_DeadBattery2V5,Process,,Y,,,,,Process_Transition_Diags_DeadBattery2V5,,,
Syscfg_SanityCheck_MLBSN,DUTInfo,,Y,,,,,,,,
MLBSN,DUTInfo,,Y,,,,,Process_MLBSN,,,
StartProcessControl,Process,,Y,,,,,,,,
CB,Process,,Y,,,,,Process_CB,,,
Transition_Diags_VBAT4V3,Process,,Y,,,,,Process_Transition_Diags_VBAT4V3,,,
GPIOCheck,PMU,,Y,,,,,PMU_GPIOCheck,,,
