TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
AceFWDL_SPI_VBAT4V3_VBUS5V,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""ACE_HReset_H""}",,,gpio.set(bit7=1),,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""ACE_SPI_To_Xavier"",""netname"":""ACE_SPI_TO_ZYNQ"",""state"":""CONNECT""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_100MS"",""delay"":""100""}",,,,,,
,Tech:fwdl_rease,,,(ACE_ChipName),,,"{""subsubtestname"":""ACE_Erase""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_500MS"",""delay"":""500""}",,,,,,
,Tech:fwdl_program,,(ACE_ChipName),,,,"{""subsubtestname"":""ACE_FWDL""}",,,,,,
,Tech:check_acefw_vs_uut,,,,,,"{""subsubtestname"":""Check_ACE_FW_UUT""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""ACE_SPI_Disconnect"",""netname"":""ACE_SPI_TO_ZYNQ"",""state"":""DISCONNECT""}",,,,,,
,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""ACE_HReset_L""}",,,gpio.set(bit7=0),,,
ForceDFU_VDM,Common:relay_switch,,,,,,"{""subsubtestname"":""USB_POWER_OFF"",""netname"":""VBUS_OUTPUT_CTL"",""state"":""OFF""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PP5V0_TO_VDM_BOARD_DISCONNECT"",""netname"":""PP_5V0_VDM"",""state"":""DISCONNECT""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS"",""delay"":""1000""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PP5V0_TO_VDM_BOARD"",""netname"":""PP_5V0_VDM"",""state"":""CONNECT""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""USB_POWER_ON"",""netname"":""VBUS_OUTPUT_CTL"",""state"":""ON""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_1"",""delay"":""1000""}",,,,,,
