TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
1,1,1618586509.175686,1618586509.216026,0.040340,GraphIndex0,SystemScheduler,slot1,13812817079277761745
2,1,1618586509.182428,1618586509.215983,0.033555,Init,SystemScheduler,slot1,13812817079277761745
5,2,1618586509.435570,1618586509.670017,0.234447,LED_INPROGRESS_ON,SystemScheduler,slot1,7856186021307596974
60,2,1618587512.319700,1618587516.494561,4.174861,Power_OFF,SystemScheduler,slot1,7856186021307596974
8,2,1618586540.631812,1618586544.269550,3.637738,DFU_Power_On,SystemScheduler,slot1,7856186021307596974
37,2,1618587460.545540,1618587460.598594,0.053054,Sensor_Vendor,SystemScheduler,slot1,7856186021307596974
22,2,1618586984.012731,1618586984.782994,0.770263,SOC-P,SystemScheduler,slot1,7856186021307596974
59,2,1618587511.538605,1618587512.316350,0.777745,SET_FAN_SPEED_0,SystemScheduler,slot1,7856186021307596974
10,2,1618586545.676145,1618586877.009846,331.333701,Restore,SystemScheduler,slot1,7856186021307596974
15,2,1618586879.120493,1618586879.130294,0.009801,Restore_check_SOF,SystemScheduler,slot1,7856186021307596974
55,2,1618587500.112916,1618587500.115001,0.002085,parallel-group-end-merge-globals-pre-CB,SystemScheduler,slot1,7856186021307596974
56,2,1618587500.115920,1618587500.118045,0.002125,parallel-group-end-merge-conditions-pre-CB,SystemScheduler,slot1,7856186021307596974
7,2,1618586510.614108,1618586540.628222,30.014114,Delay_For_Restore_Async,SystemScheduler,slot1,7856186021307596974
39,2,1618587460.624871,1618587461.496267,0.871396,Accel_Only_Test,SystemScheduler,slot1,7856186021307596974
40,2,1618587461.498789,1618587461.504387,0.005598,accel_only_test_fail,SystemScheduler,slot1,7856186021307596974
42,2,1618587462.442380,1618587465.486698,3.044318,accel_gyro_combo_mode_test,SystemScheduler,slot1,7856186021307596974
19,2,1618586924.782243,1618586946.946902,22.164659,RTOS,SystemScheduler,slot1,7856186021307596974
43,2,1618587464.800712,1618587479.008411,14.207699,Shorts_Test-Initial,SystemScheduler,slot1,7856186021307596974
32,2,1618587419.482311,1618587450.437338,30.955027,Smokey_PCIe_EYE,SystemScheduler,slot1,7856186021307596974
6,2,1618586509.673006,1618586510.610681,0.937675,SET_FAN_SPEED_100,SystemScheduler,slot1,7856186021307596974
21,2,1618586983.849514,1618586984.010232,0.160718,SOC,SystemScheduler,slot1,7856186021307596974
57,2,1618587500.119009,1618587500.187088,0.068079,CB,SystemScheduler,slot1,7856186021307596974
17,2,1618586886.423793,1618586905.436253,19.012460,Enter_Diags-Initial,SystemScheduler,slot1,7856186021307596974
54,2,1618587498.974729,1618587500.110370,1.135641,Initial-Test_End,SystemScheduler,slot1,7856186021307596974
49,2,1618587479.011272,1618587479.477433,0.466161,Firmware_Load-Diags,SystemScheduler,slot1,7856186021307596974
36,2,1618587459.954541,1618587460.541309,0.586768,Connect,SystemScheduler,slot1,7856186021307596974
12,2,1618586545.682134,1618586855.004133,309.321999,NonUI-DCSD,SystemScheduler,slot1,7856186021307596974
18,2,1618586905.438901,1618586924.779660,19.340759,SOC_Thermal-OffOn,SystemScheduler,slot1,7856186021307596974
53,2,1618587498.912088,1618587498.972196,0.060108,ANS_health_check,SystemScheduler,slot1,7856186021307596974
