document_version, 1.0
station_id,DFU-NAND-INIT
station_sw,DCSDPlugin
station_sw_version,505.4

tag,start_time,duration
Restore::Booting, 1636342237.53, 28.27
Restore::Sending kernel cache to device, 1636342267.22, 0.61
Restore::Setting date and time on device, 1636342319.94, 0.16
Restore::Waiting for NAND, 1636342320.10, 0.09
Restore::Clearing NVRAM, 1636342350.98, 0.20
Restore::Creating partition map, 1636342351.18, 0.40
Restore::Unmounting filesystems, 1636342331.40, 41.47
Restore::Restoring image, 1636342371.62, 1.47
Restore::Mounting filesystems, 1636342376.27, 1.32
Restore::Unrecognized operation (80), 1636342445.69, 0.22
Restore::Requesting FUD data, 1636342445.91, 35.03
Restore::Updating gas gauge software, 1636342480.94, 0.10
Restore::Requesting FUD data, 1636342483.50, 2.54
Restore::Updating Veridian, 1636342567.94, 0.07
Restore::Updating AppleTCON, 1636342568.01, 0.08
Restore::Unmounting filesystems, 1636342374.93, 389.91
Restore::Booting, 1636342267.83, 500.18
Restore::Unmounting filesystems, 1636342769.18, 0.87
Restore::Sending FDR user info, 1636342770.05, 3.03
