TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
4,1,1636342209.133813,1636342209.166531,0.032718,dataReportSetup,SystemScheduler,slot3,15528531130531427862
3,1,1636342209.098457,1636342209.127413,0.028956,getScannedSN,SystemScheduler,slot3,15528531130531427862
2,1,1636342209.035818,1636342209.088421,0.052603,GetCMSite,SystemScheduler,slot3,15528531130531427862
1,1,1636342209.029422,1636342209.166572,0.137150,GraphIndex0,SystemScheduler,slot3,15528531130531427862
46,2,1636342904.217590,1636342904.952323,0.734733,Info_2,SystemScheduler,slot3,16428178491954807305
44,2,1636342903.524175,1636342904.018072,0.493897,UnderVoltageWarning_Stowe,SystemScheduler,slot3,16428178491954807305
45,2,1636342904.020533,1636342904.214790,0.194257,UnderVoltageWarning_Vale,SystemScheduler,slot3,16428178491954807305
36,2,1636342879.676738,1636342891.582750,11.906012,Reset_Diags,SystemScheduler,slot3,16428178491954807305
50,2,1636342961.288363,1636343416.911453,455.623090,SmokeyTest_WDFU,SystemScheduler,slot3,16428178491954807305
58,2,1636343439.077163,1636343439.155010,0.077847,Info_ISP,SystemScheduler,slot3,16428178491954807305
66,2,1636343482.501835,1636343485.507699,3.005864,SensorData_FS8g_ODR200HZ_Zup,SystemScheduler,slot3,16428178491954807305
72,2,1636343492.195864,1636343764.643488,272.447624,PCIeEnum_S5e,SystemScheduler,slot3,16428178491954807305
75,2,1636344069.136247,1636344095.203348,26.067101,PCIeEnum_Baseband,SystemScheduler,slot3,16428178491954807305
53,2,1636343417.079118,1636343426.343453,9.264335,Baseband,SystemScheduler,slot3,16428178491954807305
62,2,1636343477.256746,1636343477.370303,0.113557,SensorData_VendorInfor,SystemScheduler,slot3,16428178491954807305
49,2,1636342918.267713,1636342961.285892,43.018179,Info_SEP,SystemScheduler,slot3,16428178491954807305
57,2,1636343432.522160,1636343439.074675,6.552515,NFC,SystemScheduler,slot3,16428178491954807305
23,2,1636342780.729489,1636342786.349689,5.620200,Discharge_Initial_2,SystemScheduler,slot3,16428178491954807305
80,2,1636344100.788206,1636344100.909720,0.121514,finishProcessControl,SystemScheduler,slot3,16428178491954807305
