TestName,Technology,Disable,Production,Audit,Thread,Policy,Loop,Sample,SOF,Condition,Notes
Channel,Fixture,,Y,,,,,,,,Fixture_SetUp
SoftwareCheck,Fixture,,Y,,,,,,,,Fixture_SetUp
GeneralAction_5,Fixture,,Y,,,,,,,,Set LED Color to Blue
GeneralAction_1,Fixture,,Y,,,,,,,,Set fan speed to 100
Discharge_Initial_1,Power,,Y,,,,,,,,Rail_Discharge-Initial
GeneralAction_2,Fixture,,Y,,,,,,,,Fixture Reset
VoltageCheck_Safety_VBAT0V8,Power,,Y,,,,,,Y,,VBATT_LV_Short_Check
VoltageCheck_Safety_VBUS5V,Power,,Y,,,,,,Y,,VBUS_Short_Check
VoltageCheck_Safety_VBAT4V2,Power,,Y,,,,,,Y,,VBATT_RESET_CURRENT_Check
On_Seq_1,Power,,Y,,,,,,,,On_Seq
Restore_DFUMode,SOC,,Y,,,,,,Y,,Restore_DFUModeCheck
Restore_NonUI_DCSD_1,SOC,,Y,,1a,,,,Y,,Do restore process
Restore_NonUI_DCSD_2,SOC,,Y,,1b,,,,Y,,check for panic during restore
Ace_Provisioning_Power,SOC,,Y,,1c,,,,Y,,Ace_Provisioning_Power
Restore_NonUI_DCSD_3,SOC,,Y,,,,,,Y,,CheckPoint for the restore process
Discharge_Initial_2,Power,,Y,,,,,,,,Rail_Discharge-Initial
Reset_OCP,Power,,Y,,,,,,,,Reset_OCP
On_Seq_2,Power,,Y,,,,,,,,Enter Diags initial
Transition_Diags_1,Process,,Y,,,,,,Y,,Enter Diags check
Syscfg_List_1,DutInfo,,Y,,,,,,,,List syscfg
DiagsFW_Version,DutInfo,,Y,,,,,,,,Get Diags Version
Temperature,SOC,,Y,,,,,,Y,,SOC_Thermal-OffOn
Transition_RTOS_1,Process,,Y,,,,,,Y,,
RTOSFW,DutInfo,,Y,,,,,,,,Get RTOSFW_Version
Transition_RTOS_2,Process,,Y,,,,,,,,
Transition_RBM_1,Process,,Y,,,,,,Y,,
RBMFW,DutInfo,,Y,,,,,,,,Get RBMFW_Version
Transition_RBM_2,Process,,Y,,,,,,,,
Reset_Diags,Process,,Y,,,,,,Y,,
Transition_Diags_2,Process,,Y,,,,,,Y,,
Info_1,SOC,,Y,,,,,,,,Get the SOC Info
CB_1,Process,,Y,,,,,,,,Write and Read RTC
Syscfg,DUTInfo,,Y,,,,,,,,Write and Read Syscfg
MLBSN,DUTInfo,,Y,,,,,,,,Write and Read SN
startProcessControl,Process,,Y,,,,,,,,startProcessControl
MLBCFG,DUTInfo,,Y,,,,,,,SITE == FXLH,Write and Read CFG
UnderVoltageWarning_Stowe,PMU,,Y,,,,,,,,
UnderVoltageWarning_Vale,PMU,,Y,,,,,,,,
Info_2,Storage,,Y,,,,,,,,
Info_GBBTest_1,Storage,,Y,,,,,,,,
Reset,Speaker,,Y,,,,,,Y,,
Info_SEP,SOC,,Y,,,,,,,,
SmokeyTest_WDFU,RF,,Y,,,,,,Y,,WDFU Smokey Test
Syscfg_RFEM,RF,,Y,,,,,,,,RFEM_sanity_check
Syscfg_WSKU,RF,,Y,,,,,,,mlb_type==MLB_B,WSKU_sanity_check
Baseband,RF,,Y,,,,,,,mlb_type==MLB_B,BB_Firmware_Load-Diags
Wifi_1,RF,,Y,,,,,,,,WiFi_Firmware_Load-Diags
Bluetooth,RF,,Y,,,,,,,,BT_Firmware_Load-Diags
Wifi_2,RF,,Y,,,,,,,,
NFC,RF,,Y,,,,,,,,Stockholm-General_Test
Info_ISP,SOC,,Y,,,,,,,,
SmokeyTest_TouchInitial,Touch,,Y,,,,,,Y,,
LoadFW,Touch,,Y,,,,,,,,
ConnectivityTest_SPI,Touch,,Y,,,,,,,,
SensorData_VendorInfor,Accel,,Y,,,,,,,,Accel_Test
SensorData_AccelOnly,Accel,,Y,,,,,,,,
SensorData_FS8g_ODR100HZ_Zup,Accel,,Y,,,,,,,,
SensorData_AccelNormal,Accel,,Y,,,,,,,,
SensorData_FS8g_ODR200HZ_Zup,Accel,,Y,,,,,,,,
SensorData_GyroNormal,Gyro,,Y,,,,,,,,Gyro_Test
SensorData_IDInfor,Gyro,,Y,,,,,,,,
SensorData_FS2000dps_ODR200HZ,Gyro,,Y,,,,,,,,
SensorData,PressureSensor,,Y,,,,,,,,Phosphorus_Test
Registers,PressureSensor,,Y,,,,,,,,Phosphorus_Test
PCIeEnum_S5e,Storage,,Y,,,,,,,,
PCIeEnum_Ans3,Storage,,Y,,,,,,,,
PCIeEnum_Wifi,Storage,,Y,,,,,,,,
PCIeEnum_Baseband,Storage,,Y,,,,,,,mlb_type==MLB_B,
Info_GBBTest_2,Storage,,Y,,,,,,,,
Info_ANS_HealthTest,Storage,,Y,,,,,,,,
CB_2,Process,,Y,,,,,,,,
Syscfg_List_2,DutInfo,,Y,,,,,,,,List syscfg
finishProcessControl,Process,,Y,,,,,,,,
Discharge_3,Power,,Y,,,,,,,,
GeneralAction_3,Fixture,,Y,,,,,,,,Set fan speed to 0
GeneralAction_4,Fixture,,Y,,,,,,,,Fixture Reset
