TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
PCIeEnum_S5e,Common:sendCmdAndCreateRecord,,,,500,,"{""dutPluginName"":""dut""}",,,"upy nandfs:\\AppleInternal\\Diags\\Logs\\Smokey\\AEMTools\\main.py --end_point s5e --result_path ""nandfs:\\AppleInternal\\Diags\\Logs\\Smokey\\AEMTools\\s5e_logs""",,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dut""}",,,"cat nandfs:\\AppleInternal\\Diags\\Logs\\Smokey\\AEMTools\\s5e_logs\\run_1_eye_diagram_lane0.txt",,,
,Common:sendCmdAndCreateRecord,,,(PCIeEnum_S5e_resp),10,,"{""subsubtestname"": ""s5e_Test_Result"", ""expect"": "":-)"",""dutPluginName"":""dut""}",,,"cat nandfs:\\AppleInternal\\Diags\\Logs\\Smokey\\AEMTools\\s5e_logs\\results.txt",,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_north_ticks"",""pattern"": ""s5e_lane_0_north_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_south_ticks"",""pattern"": ""s5e_lane_0_south_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_east_ticks"",""pattern"": ""s5e_lane_0_east_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_west_ticks"",""pattern"": ""s5e_lane_0_west_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_eh_mv"",""pattern"": ""s5e_lane_0_eh_mv\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_ew_ps"",""pattern"": ""s5e_lane_0_ew_ps\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_eh_ticks"",""pattern"": ""s5e_lane_0_eh_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_ew_ticks"",""pattern"": ""s5e_lane_0_ew_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_0_leftright_2min_ew_ps"",""pattern"": ""s5e_lane_0_leftright_2min_ew_ps\\s+->\\s+(-?[0-9.]+)""}",,,,,,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_1_north_ticks"",""pattern"": ""s5e_lane_1_north_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,HAS_TWO_STORAGE_DEVICE==TRUE,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_1_south_ticks"",""pattern"": ""s5e_lane_1_south_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,HAS_TWO_STORAGE_DEVICE==TRUE,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_1_east_ticks"",""pattern"": ""s5e_lane_1_east_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,HAS_TWO_STORAGE_DEVICE==TRUE,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_1_west_ticks"",""pattern"": ""s5e_lane_1_west_ticks\\s+->\\s+(-?[0-9.]+)""}",,,,,HAS_TWO_STORAGE_DEVICE==TRUE,
,Common:regexParseNumber,,(PCIeEnum_S5e_resp),,,,"{""subsubtestname"": ""s5e_lane_1_eh_mv"",""pattern"": ""s5e_lane_1_eh_mv\\s+->\\s+(-?[0-9.]+)""}",,,,,HAS_TWO_STORAGE_DEVICE==TRUE,
