TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
1,1,1618589754.445020,1618589754.485937,0.040917,GraphIndex0,SystemScheduler,slot2,13812817079277761745
2,1,1618589754.453411,1618589754.485870,0.032459,Init,SystemScheduler,slot2,13812817079277761745
5,2,1618589754.694860,1618589754.927368,0.232508,LED_INPROGRESS_ON,SystemScheduler,slot2,7856186021307596974
60,2,1618590771.741820,1618590775.867136,4.125316,Power_OFF,SystemScheduler,slot2,7856186021307596974
8,2,1618589785.915932,1618589789.570007,3.654075,DFU_Power_On,SystemScheduler,slot2,7856186021307596974
37,2,1618590719.412066,1618590719.456320,0.044254,Sensor_Vendor,SystemScheduler,slot2,7856186021307596974
22,2,1618590243.038503,1618590243.811251,0.772748,SOC-P,SystemScheduler,slot2,7856186021307596974
59,2,1618590771.509307,1618590771.739223,0.229916,SET_FAN_SPEED_0,SystemScheduler,slot2,7856186021307596974
10,2,1618589790.983231,1618590134.829753,343.846522,Restore,SystemScheduler,slot2,7856186021307596974
15,2,1618590137.560349,1618590137.570343,0.009994,Restore_check_SOF,SystemScheduler,slot2,7856186021307596974
55,2,1618590759.009241,1618590759.011353,0.002112,parallel-group-end-merge-globals-pre-CB,SystemScheduler,slot2,7856186021307596974
56,2,1618590759.012258,1618590759.014358,0.002100,parallel-group-end-merge-conditions-pre-CB,SystemScheduler,slot2,7856186021307596974
7,2,1618589755.885487,1618589785.905085,30.019598,Delay_For_Restore_Async,SystemScheduler,slot2,7856186021307596974
39,2,1618590719.483852,1618590720.352435,0.868583,Accel_Only_Test,SystemScheduler,slot2,7856186021307596974
40,2,1618590720.355144,1618590720.360749,0.005605,accel_only_test_fail,SystemScheduler,slot2,7856186021307596974
42,2,1618590721.302243,1618590724.344881,3.042638,accel_gyro_combo_mode_test,SystemScheduler,slot2,7856186021307596974
19,2,1618590183.895842,1618590206.002387,22.106545,RTOS,SystemScheduler,slot2,7856186021307596974
43,2,1618590723.629361,1618590737.842428,14.213067,Shorts_Test-Initial,SystemScheduler,slot2,7856186021307596974
32,2,1618590678.314946,1618590709.378562,31.063616,Smokey_PCIe_EYE,SystemScheduler,slot2,7856186021307596974
6,2,1618589754.930309,1618589755.882510,0.952201,SET_FAN_SPEED_100,SystemScheduler,slot2,7856186021307596974
21,2,1618590242.895487,1618590243.036047,0.140560,SOC,SystemScheduler,slot2,7856186021307596974
57,2,1618590759.015216,1618590759.221282,0.206066,CB,SystemScheduler,slot2,7856186021307596974
17,2,1618590144.878091,1618590164.565099,19.687008,Enter_Diags-Initial,SystemScheduler,slot2,7856186021307596974
54,2,1618590757.876016,1618590759.006477,1.130461,Initial-Test_End,SystemScheduler,slot2,7856186021307596974
49,2,1618590737.845573,1618590738.326696,0.481123,Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
36,2,1618590718.813053,1618590719.408970,0.595917,Connect,SystemScheduler,slot2,7856186021307596974
12,2,1618589790.999150,1618590107.811338,316.812188,NonUI-DCSD,SystemScheduler,slot2,7856186021307596974
18,2,1618590164.567618,1618590183.893380,19.325762,SOC_Thermal-OffOn,SystemScheduler,slot2,7856186021307596974
53,2,1618590757.812880,1618590757.873429,0.060549,ANS_health_check,SystemScheduler,slot2,7856186021307596974
47,2,1618590728.377575,1618590728.560019,0.182444,Firmware_Load-End,SystemScheduler,slot2,7856186021307596974
28,2,1618590244.380981,1618590244.948904,0.567923,Initial-Test,SystemScheduler,slot2,7856186021307596974
