TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
Info_SEP,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_INIT"", ""expect"": ""OK""}",,,"sep --init",,,
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_W"", ""expect"": ""OK""}",,,"sep --wait_for_ready",,,
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_INFO"", ""expect"": ""OK""}",,,"sep --info",,,
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_G"", ""expect"": ""OK""}",,,"sep -g",,,
,Common:sendCmdAndCreateRecord,,,,70,,"{""subsubtestname"": ""SEP_LYNX"", ""expect"": ""OK""}",,,"sep -e lynx lynt --timeout 60000000 -A",,,
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_C"", ""expect"": ""OK""}",,,"sep -c",,,
Info_SEP_End,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""SEP_C"", ""expect"": ""Lynx self-test successful""}",,,"sep -c",,,
Info_ISP,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""ISP_FW_Version"",""comparekey"": ""ISPFW"", ""pattern"": ""(diag-pallas-.+bin)""}",,,"camisp --fw dump",,,
Info_1,Common:getStorageSize,,,[MEMORY_SIZE],3,,"{""subsubtestname"": ""Memory_Size"", ""attribute"": ""MEMORY_SIZE"", ""pattern"": ""Memory_size:\\s+(\\d+)"",""divisor"":""1073741824""}",,,,,,Memory_Size=value/(1024**3)
,Common:sendCmdAndCreateRecord,Y,,,3,,"{""dutPluginName"":""dut""}",,,"ace --pick usbc",,,
,Common:sendCmdAndCreateRecord,Y,,,3,,"{""dutPluginName"":""dut""}",,,"ace --read 0x09",,,
,Common:sendCmdAndCreateRecord,Y,,,6,,"{""subsubtestname"": ""ACE_FW""}",,,"ace --read 0x0F",,,
,Common:sendCmdAndCreateRecord,,,(boardid_resp),3,,"{""expect"":""0x0""}",,,"boardid command",,,"run boardid command"
,Common:regexParseString,,(boardid_resp),[BOARD_ID],,,"{""subsubtestname"": ""BOARD_ID"", ""attribute"": ""BOARDID"", ""pattern"": ""Board id: (0x[0-9A-Fa-f]+)""}",,,,,,BOARD_ID
