TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT,NYQUIST_GROUP,NYQUIST_PROPOSED_RATE
Fixture,Initialization,SequenceUnlock,,Global.sequnlock,10000,Seq,,,,,,,,Fixture_Initialization,100
Fixture,Channel,ID,get the fixture channel id,dut.channel,10000,,,,1,4,,,,Fixture_Channel,100
// Process,UOPCheck,Check,,dut.uop_onoff,200000,[[scanned_sn]],<<UOP_CHECK>>,,,,,,3,Process_CB,100
Fixture,HardwareCheck,VendorID,get fixture vendor id(sc is 1/prm is 2),dut.vendor,10000,,{{Vendor_ID}},,1,2,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,Station,check the testing station name,dut_dock_port.get_station,10000,,{{station_name}},,,,,,,Fixture_HardwareCheck,100
Fixture,SoftwareCheck,AceFW_OnMac,check mac fw,fixture.check_acefw_compare_Mac,100000,,,,,,,,3,Fixture_SoftwareCheck,100
Fixture,SoftwareCheck,AceFW_OnXavier,check Xavier fw,fixture.check_acefw_compare_xavier,200000,,,,,,,,3,Fixture_SoftwareCheck,100
Fixture,GeneralAction,Reset_Initial,reset the fixture to default setting,reset.reset,20000,,,,,,,,3,Fixture_GeneralAction,100
Fixture,HardwareCheck,UUT_Presence,detect the DUT place into channel or not,dut.dut_check,10000,,,,,,,,3,Fixture_HardwareCheck,100
Fixture,HardwareCheck,FixtureSN,check Fixture SN,fixture.check_fixture_sn,10000,testbase,<<Fixture_SN>>,,,,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,FixtureSanitySN,check Fixture wib/sib SN,fixture.check_fixture_sanity_sn,10000,,,,,,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,VDM_SN,check VDM SN,fixture.show_sn,30000,show vdm sn(),<<VDM-002>>,,,,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,EloadSN,check Eload SN,fixture.show_sn,30000,show eload sn(),<<EL-004>>,,,,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,ScopeSN,check SCOPE SN,fixture.show_sn,30000,show scope sn(),<<Scope-007>>,,,,,,,Fixture_HardwareCheck,100
Fixture,HardwareCheck,OAB3_SN,check OAB3 SN,fixture.show_sn,30000,show oab3 sn(),<<OAB3-001>>,,,,,,,Fixture_HardwareCheck,100
Fixture,SoftwareCheck,XavierFW,check zynq fw,fixture.zynq_fw_check,10000,,<<Xavier_FW_Version>>,,,,,,,Fixture_SoftwareCheck,100
Fixture,HardwareCheck,XavierIP,check zynq ip,fixture.zynq_ip_check,10000,,<<Xavier_IP>>,,,,,,,Fixture_HardwareCheck,100

Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT,,relay.relay,10000,PPBATT_VCC_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge,connect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge,delay 1000ms,delay.delay,10000,1000,,ms,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT,,relay.relay,10000,PPBATT_VCC_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_Disable,disconnect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100

Power,VoltageCheck_Safety_VBAT0V8,UUT_UART_ENABLE,enable UUT uart,fixture.sendcmd,10000,uart pin contrl(UUT*enable),,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,Bellatrix_UART_ENABLE,enable UUT uart,fixture.sendcmd,10000,uart pin contrl(SBELLATRIX*enable),,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_ON,battery power on,relay.relay,10000,BATT_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,DELAY_10MS_1,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,BATT_MODE_TO_SMALL,,relay.relay,10000,BATT_MODE_CTL,SMALL,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V8,raising up the battery to 0.8v,powerboard.setbattvolt,10000,0.8,0-0.8-0.08,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,DELAY_100MS_1,delay 100ms,delay.delay,10000,100,,ms,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,PPBATT_VCC_FB,measure_PPBATT_VCC_voltage_TP9344,dmm.dmm,10000,PPBATT_VCC,,mV,700,900,,,3,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_OFF,battery power off,relay.relay,10000,BATT_OUTPUT_CTL,OFF,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V,raising up the battery to 0v,powerboard.setbattvolt,10000,0,,,,,,,,Power_VoltageCheck_Safety_VBAT0V8,100

Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_1,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_1,,relay.relay,10000,PPBATT_VCC_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_1,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_1,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_1,connect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge_1,delay 1000ms,delay.delay,10000,1000,,ms,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_1,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT_1,,relay.relay,10000,PPBATT_VCC_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT_1,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT_1,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_Disable_1,disconnect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100

Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_VDM,power connected to VBUS_BYPASS_VDM,relay.relay,10000,PPVBUS_USB_PWR,TO_VBUS_BYPASS_VDM,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_ON,USB_power_output_enable,relay.relay,10000,VBUS_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,DELAY_10MS_1,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_1V25,USB_output_1V25,powerboard.setusbmainvolt,10000,1.25,,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,DELAY_100MS_1,delay 100ms,delay.delay,10000,100,,ms,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,PPVBUS_USB_EMI,measure_PPVBUS_USB_EMI_voltage_TP93EB,dmm.dmm,10000,PPVBUS_USB_EMI,,mV,1100,1400,,,3,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_OFF,USB_power_output_disable,relay.relay,10000,VBUS_OUTPUT_CTL,OFF,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_0V,USB_output_0V,powerboard.setusbmainvolt,10000,0,,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100
Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_DISCONNECT,power connected to DISCONNECT,relay.relay,10000,PPVBUS_USB_PWR,BYPASS_DISCONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS1V25,100

Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_2,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
