TestName,ParameterName,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,Condition
VoltageCheck_Safety_VBAT0V8,Read_PPVBAT_Safety,mV,1000,600,,,
VoltageCheck_Safety_VBAT0V8,IBAT_OCP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT0V8,VBAT_UVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT0V8,PPVCCMAIN_UVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT0V8,VBAT_OVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBUS5V,Read_PPVBUS_Safety,mV,5500,1000,,,
VoltageCheck_Safety_VBUS5V,VBUS_OCP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBUS5V,VBUS_UVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBUS5V,VBUS_OVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT4V2,Read_PPVBAT_Safety,mV,4410,3700,,,
VoltageCheck_Safety_VBAT4V2,Read_IBAT_Safety,mA,4410,0,,,
VoltageCheck_Safety_VBAT4V2,IBAT_OCP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT4V2,VBAT_UVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT4V2,PPVCCMAIN_UVP_Fault_Flag,,0,0,,,
VoltageCheck_Safety_VBAT4V2,VBAT_OVP_Fault_Flag,,0,0,,,
Syscfg_WSKU,Length,,16,16,,,
Syscfg_RFEM,Length,,24,24,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_0_LOW,,0,0,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_2_LOW,,0,0,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_3_LOW,,0,0,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_4_LOW,,0,0,,,
