TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
SmokeyTest_WDFU,Common:smokeyRunAndParse,,,[smokey_WDFU_resp],1000,,"{""subsubtestname"":""Smokey_Run"",""hangTimeout"":50}",,,"smokey WDFU --run --clean",FA_POWER_OFF,,"Run WDFU Smokey command and parse the response"
Wifi_1,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""WIFI_ON"", ""expect"": ""OK"",""dutPluginName"":""dut""}",,,"wifi --on",,,"wifi power on"
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""WIFI_Load_Firmware"", ""expect"": ""OK"",""dutPluginName"":""dut""}",,,"wifi --load_firmware",,,"WiFi load firmware"
,Common:sendCmdAndCreateRecord,,,(WIFI_Properties_resp),5,,"{""subsubtestname"": ""WIFI_Properties"", ""expect"": ""OK"",""dutPluginName"":""dut""}",,,"wifi --properties",,,"print WIFI FW version"
,Common:regexParseString,,(WIFI_Properties_resp),[WIFI_MODULE],,,"{""subsubtestname"": ""WIFI_Module_Version"", ""attribute"": ""WIFI_MODULE"",""pattern"": ""module-revision:\\s+\""(\\d.\\d\\s+\\w=\\w)\""""}",,,,,,"WiFi module revision"
,Common:regexParseString,,(WIFI_Properties_resp),[WIFI_FIRMWARE],,,"{""subsubtestname"": ""WIFI_Firmware_Version"", ""attribute"": ""WIFI_FIRMWARE"",""pattern"": ""firmware-filename:\\s+\""([0-9A-Za-z-_.]+)\""""}",,,,,,"WiFi firmware version"
,Common:regexParseString,,(WIFI_Properties_resp),[WIFI_NVRAM],,,"{""subsubtestname"": ""WIFI_Nvram"", ""attribute"": ""WIFI_NVRAM"",""pattern"": ""nvram-filename:\\s+\""([0-9A-Za-z-_.]+)\""""}",,,,,,"WiFi NVRAM"
,Common:versionCompare,,"[WIFI_MODULE],[WIFI_FIRMWARE],[WIFI_NVRAM]",,,,"{""subsubtestname"": ""WIFI_Compare"",""comparekey"":""WIFI FW""}",,,,,,"compare WIFI FW version"
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""WIFI_OTP"", ""expect"": ""OK"",""dutPluginName"":""dut""}",,,"wifi --dump_otp ",,,"WiFi dump out OTP"
Wifi_2,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""WIFI_OFF"", ""expect"": ""OK"",""dutPluginName"":""dut""}",,,"wifi --off",,,"wifi turn off"
Baseband,Common:sendCmdAndCreateRecord,,,"(Load_Status),(BB_Load_Firmware_resp)",40,,"{""subsubtestname"": ""BB_Load_Firmware"", ""expect"": ""Passed"",""pattern"": ""firmware-load=\""(\\w+)\""""}",,,"time baseband --off --on --load_firmware",,,"baseband load firmware"
,Common:regexParseString,Y,(BB_Load_Firmware_resp),,,,"{""subsubtestname"": ""BB_Load_Firmware"", ""pattern"": ""firmware-load=\""(\\w+)\""""}",,,,,,"baseband load firmware"
,Common:regexParseNumber,,(BB_Load_Firmware_resp),,,,"{""subsubtestname"": ""BB_Time"", ""pattern"": ""time:\\s+(\\d+)\\s+ms""}",,,,,,"baseband boot up time"
,Common:sendCmdAndCreateRecord,,,,20,,"{""subsubtestname"": ""BB_Wait_For_Ready"", ""expect"": ""OK""}",,,"time baseband --wait_for_ready ",,,"baseband waiting for ready"
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""BB_PING"", ""expect"": ""PASS""}",,,"baseband --ping",,,"ping baseband"
