TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
,ECID,001605302ED1001E
1,syscfg print MLB#,Diags,,0.077,,,
2,rtc --set 20211112085937,Diags,,0.093,,,
3,syscfg print MLB#,Diags,,0.017,,,
4,cbwrite 2 incomplete A_2.31.4.4-M_2.1.0-S_0.3 --hex,Diags,,0.031,,,
5,cbread 0x02,Diags,,0.016,,,
6,cbread 0x02,Diags,,0.015,,,
7,syscfg list,Diags,,0.27,,,
8,soc -p,Diags,,0.616,,,
9,soc -p list-perf-state,Diags,,0.528,,,
10,boardid,Diags,,0.016,,,
11,pmu --readadc all --avg 100,Diags,,6.093,,,
12,syscfg print CFG#,Diags,,4.122,,,
13,reset,Diags,,19.651,,,
14,echo >>>> TEST_PLAN V1_3 <<<<,Rtos,6.2e-05,0.139,,,
15,buildinfo,Rtos,0.000333,0.047,,,
16,fuse ecid,Rtos,0.000244,0.031,,,
17,fuse config,Rtos,0.349323,0.724,,,
18,fuse raw,Rtos,0.875892,1.257,,,
19,fuse config crc-info,Rtos,0.002436,0.031,,,
20,mmu ddr-protect fs3,Rtos,7.6e-05,0.016,,,
21,pmgr vmode bin,Rtos,0.001946,0.031,,,
22,pmgr offset -s 3 +6250,Rtos,7.6e-05,0.016,,,
23,pmgr offset -s 4 +3125,Rtos,9.4e-05,0.016,,,
24,pmgr offset -s 5 +6250,Rtos,7.5e-05,0.015,,,
25,pmgr mode 0x2202233,Rtos,0.00051,0.031,,,
26,pmu rails,Rtos,0.005933,0.237,,,
27,pmgr ane on,Rtos,0.000218,0.016,,,
28,pmgr power-up isp,Rtos,2e-05,0.015,,,
29,core up acc,Rtos,0.006082,0.047,,,
30,ts init mtr,Rtos,0.058892,0.078,,,
31,ts rd,Rtos,0.003475,0.188,,,
32,pmgr mode 0x1100204,Rtos,0.001239,0.032,,,
33,sc run 53 10,Rtos,1.443911,1.472,,,
34,pmgr mode 0x2202234,Rtos,0.000361,0.047,,,
35,os jitter 10,Rtos,0.000326,0.015,,,
36,ts reset auto,Rtos,0.000155,0.032,,,
37,therm toohot 105 10 105 10 7 1,Rtos,0.000539,0.031,,,
38,therm sochot 125,Rtos,0.067233,0.187,,,
39,telem config mss,Rtos,1.4e-05,0.016,,,
40,telem test config 10 125 250,Rtos,1.4e-05,0.016,,,
41,telem test enable,Rtos,0.000137,0.016,,,
42,acc dpeppt on,Rtos,0.001258,0.015,,,
43,ut all on,Rtos,2e-05,0.015,,,
44,oclamon adc config -e -p -c 7 -m -peak_min,Rtos,0.000679,0.063,,,
45,oclamon adc on,Rtos,1.4e-05,0.016,,,
46,oclamon teldvfm on,Rtos,1.4e-05,0.015,,,
47,oclamon scenario_tags on,Rtos,1.4e-05,0.016,,,
48,acc nrg on,Rtos,1.3e-05,0.016,,,
49,pmu rails,Rtos,0.006609,0.237,,,
50,pmgr mode 0x2202236,Rtos,0.000311,0.032,,,
51,ddr print info,Rtos,0.120966,0.501,,,
52,ddr print lotid,Rtos,0.016541,0.062,,,
53,sc run 54,Rtos,0.016211,0.142,,,
54,pmgr mode 0x2202234,Rtos,0.000342,0.032,,,
55,core test 0xff 50,Rtos,1.226567,1.248,,,
56,sc run 5 5,Rtos,0.003371,0.141,,,
57,echo >>>> ANE + BBQ Tests <<<<,Rtos,0.000106,0.032,,,
58,bbq config fg 625 0 4 150  0 0 E B,Rtos,0.000134,0.031,,,
59,bbq config 0xFF 500 150 5 100 24 6 E B,Rtos,0.003859,0.078,,,
60,bbq on,Rtos,1.3e-05,0.015,,,
61,echo >>>> 1P below 85C <<<<,Rtos,9.5e-05,0.016,,,
62,therm pid cc1 pcore init -skip=0_2_3_4_5_6_7_8_9_10_11_12_13_14,Rtos,0.000556,0.031,,,
63,therm pid cc1 pcore weights MAX 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0,Rtos,6.1e-05,0.032,,,
64,therm pid sp 75,Rtos,5.9e-05,0.015,,,
65,therm pid cc1 pcore enable,Rtos,0.000176,0.016,,,
66,pmgr mode 0xf502255,Rtos,0.000299,0.032,,,
67,sc run 6 5 -coredown 0x70,Rtos,2.517062,2.619,,,
68,sc run 7 5 -coredown 0x70,Rtos,15.709262,15.822,,,
69,sc run 13 10 -coredown 0x70,Rtos,0.243412,0.358,,,
70,sc run 19 5 -coredown 0x70,Rtos,0.047865,0.19,,,
71,sc run 499 5 -coredown 0x70,Rtos,2.518963,2.634,,,
72,sc run 6 5 -coredown 0xE0,Rtos,2.517289,2.632,,,
73,sc run 7 5 -coredown 0xE0,Rtos,14.752919,14.872,,,
74,sc run 13 10 -coredown 0xE0,Rtos,0.253333,0.375,,,
75,sc run 19 5 -coredown 0xE0,Rtos,0.048359,0.189,,,
76,sc run 499 5 -coredown 0xE0,Rtos,2.519176,2.637,,,
77,sc run 6 5 -coredown 0xB0,Rtos,2.517123,2.633,,,
78,sc run 7 5 -coredown 0xB0,Rtos,15.746667,15.856,,,
79,sc run 13 10 -coredown 0xB0,Rtos,0.246475,0.36,,,
80,sc run 19 5 -coredown 0xB0,Rtos,0.04794,0.19,,,
81,sc run 499 5 -coredown 0xB0,Rtos,2.518941,2.636,,,
82,sc run 6 5 -coredown 0xD0,Rtos,2.517084,2.633,,,
83,sc run 7 5 -coredown 0xD0,Rtos,15.668384,15.78,,,
84,sc run 13 10 -coredown 0xD0,Rtos,0.243692,0.36,,,
85,sc run 19 5 -coredown 0xD0,Rtos,0.048401,0.188,,,
86,sc run 499 5 -coredown 0xD0,Rtos,2.518923,2.637,,,
87,therm pid cc1 pcore disable,Rtos,0.000278,0.031,,,
88,echo >>>> 1P <<<<,Rtos,4.9e-05,0.016,,,
89,pmgr mode 0xe502255,Rtos,9.9e-05,0.031,,,
90,therm toohot 105 10 105 10 7 1,Rtos,0.000279,0.047,,,
91,sc run 6 5 -coredown 0x70,Rtos,2.517625,2.617,,,
92,sc run 7 5 -coredown 0x70,Rtos,16.033282,16.148,,,
93,sc run 13 10 -coredown 0x70,Rtos,0.240013,0.36,,,
94,sc run 19 5 -coredown 0x70,Rtos,0.048618,0.19,,,
95,sc run 499 5 -coredown 0x70,Rtos,2.519084,2.637,,,
96,sc run 6 5 -coredown 0xE0,Rtos,2.517237,2.633,,,
97,sc run 7 5 -coredown 0xE0,Rtos,15.078899,15.194,,,
98,sc run 13 10 -coredown 0xE0,Rtos,0.239622,0.359,,,
99,sc run 19 5 -coredown 0xE0,Rtos,0.048983,0.19,,,
100,sc run 499 5 -coredown 0xE0,Rtos,2.519384,2.635,,,
101,sc run 6 5 -coredown 0xB0,Rtos,2.517333,2.634,,,
102,sc run 7 5 -coredown 0xB0,Rtos,16.07487,16.194,,,
103,sc run 13 10 -coredown 0xB0,Rtos,0.246642,0.36,,,
104,sc run 19 5 -coredown 0xB0,Rtos,0.048658,0.175,,,
105,sc run 499 5 -coredown 0xB0,Rtos,2.519043,2.636,,,
106,sc run 6 5 -coredown 0xD0,Rtos,2.51863,2.633,,,
107,sc run 7 5 -coredown 0xD0,Rtos,16.002529,16.119,,,
108,sc run 13 10 -coredown 0xD0,Rtos,0.243076,0.359,,,
109,sc run 19 5 -coredown 0xD0,Rtos,0.049008,0.189,,,
110,sc run 499 5 -coredown 0xD0,Rtos,2.519102,2.635,,,
111,echo >>>> 2P <<<<,Rtos,5e-05,0.032,,,
112,pmgr mode 0xd502255,Rtos,9.8e-05,0.031,,,
113,sc run 6 5 -coredown 0x30,Rtos,2.517746,2.619,,,
114,sc run 7 5 -coredown 0x30,Rtos,8.327267,8.439,,,
115,sc run 13 10 -coredown 0x30,Rtos,0.234267,0.358,,,
116,sc run 19 5 -coredown 0x30,Rtos,0.049476,0.174,,,
117,sc run 499 5 -coredown 0x30,Rtos,2.525271,2.636,,,
118,sc run 6 5 -coredown 0xC0,Rtos,2.516869,2.636,,,
119,sc run 7 5 -coredown 0xC0,Rtos,8.193205,8.314,,,
120,sc run 13 10 -coredown 0xC0,Rtos,0.246086,0.359,,,
121,sc run 19 5 -coredown 0xC0,Rtos,0.049382,0.174,,,
122,sc run 499 5 -coredown 0xC0,Rtos,2.525034,2.637,,,
123,sc run 6 5 -coredown 0x90,Rtos,2.516986,2.638,,,
