TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
Info_Potomac,Common:sendCmdAndParseWithDC,,,,,,"{""subsubtestname"": ""OTP_Revision"",""pattern"": ""Data:%s*(0x%x*)"",""attribute"": ""Charger_Potomac_OTP_Revision""}",,,i2c -z 2 -d 7 0x75 0x1101 1,,,
,Common:sendCmdAndParseWithDC,,,,,,"{""subsubtestname"": ""Platform_ID"",""pattern"": ""Data:%s*(0x%x*)"",""attribute"": ""Charger_Potomac_Platform_ID""}",,,i2c -z 2 -d 7 0x75 0x1102 1,,,
,Common:sendCmdAndParseWithDC,,,,,,"{""subsubtestname"": ""Device_ID"",""pattern"": ""Data:%s*(0x%x*%s*0x%x*%s*0x%x*%s*0x%x*%s*0x%x*)"",""attribute"": ""Charger_Potomac_Device_ID""}",,,i2c -z 2 -d 7 0x75 0x1104 5,,,
BatteryChargeStatus_VBUS5V,Common:sendCmdAndParse,,,[charge_status],,,"{""subsubtestname"": ""Read"",""record"":""NO""}",,,charge --status,,,
BrickConnectStatus_VBUS5V,Common:parseWithRegexString,,[charge_status],,,,"{""subsubtestname"": ""Connected"",""pattern"": ""Charger%s*connected%s*:%s*(%d*)"",""parametric"": ""yes""}",,,,,,
BatteryTemperatureSense_Normal,Common:delay,,,,,,"{""subsubtestname"":""Delay_1000MS"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Tech:blank,Y,,,,,"{""subsubtestname"":""Blank"",""record"":""NO""}",,,,,,
,Common:relaySwitch,,,,,,"{""subsubtestname"":""NTC_10K"",""netname"":""BATT_NTC"",""state"":""TO_10K_NORMAL"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_100MS"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_POTOMAC_TBAT"",""pattern"": ""tbat:%s+([+-]?%d+%.?%d+)%s+C"",""parametric"": ""yes"",""mark"": ""1"",""timeout"": ""2""}",,,pmuadc --sel potomac --read tbat,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_NTC_Status_flag"",""pattern"": ""Data%s*:%s*(0x%x+)""}",,,i2c -z 2 -d 0x07 0x75 0x1420 1,,,
BatteryTemperatureSense_Hot,Common:relaySwitch,,,,,,"{""subsubtestname"":""NTC_3K3"",""netname"":""BATT_NTC"",""state"":""TO_3K3_HOT"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_100MS_1"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_POTOMAC_TBAT"",""pattern"": ""tbat:%s+([+-]?%d+%.?%d+)%s+C"",""parametric"": ""yes""}",,,pmuadc --sel potomac --read tbat,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_NTC_Status_flag"",""pattern"": ""Data%s*:%s*(0x%x+)""}",,,i2c -z 2 -d 0x07 0x75 0x1420 1,,,
BatteryTemperatureSense_Cold,Common:relaySwitch,,,,,,"{""subsubtestname"":""NTC_33K"",""netname"":""BATT_NTC"",""state"":""TO_33K_COLD"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_100MS_2"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_POTOMAC_TBAT"",""pattern"": ""tbat:%s+([+-]?%d+%.?%d+)%s+C"",""parametric"": ""yes""}",,,pmuadc --sel potomac --read tbat,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_NTC_Status_flag"",""pattern"": ""Data%s*:%s*(0x%x+)""}",,,i2c -z 2 -d 0x07 0x75 0x1420 1,,,
,Common:relaySwitch,,,,,,"{""subsubtestname"":""BATT_NTC_Dis"",""netname"":""BATT_NTC"",""state"":""FLOAT"",""record"":""NO""}",,,,,,
BatteryTemperatureSense_Normal_1,Common:relaySwitch,,,,,,"{""subsubtestname"":""Reconnect_NTC_10K"",""netname"":""BATT_NTC"",""state"":""TO_10K_NORMAL"",""record"":""NO""}",,,,,,
TrickleCharge_VBAT2V8_VBUS5V,Common:powerSupply,,,,,,"{""subsubtestname"":""VBUS_to_5V"",""powertype"":""USB"",""record"":""NO""}",,,5000,FA_ResetAll,,
,Common:powerSupply,,,,,,"{""subsubtestname"":""Set_VBAT_2.8v"",""powertype"":""batt"",""start"":""3500"",""stop"":""2800"",""step"":""200"",""record"":""NO""}",,,,FA_ResetAll,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_200MS"",""delay"":""200"",""record"":""NO""}",,,,,,
,Tech:sendChargeCmd,,,{charge_cmd},,,"{""subsubtestname"": ""USB_ilimit_3000mA_5V"",""record"":""NO""}",,,charge --setma 3000 --setmv 5000,,,
,Common:connectVBUSFeedback,,,,,,"{""subsubtestname"": ""PPVBUS_FB_CONNECT_Precharge"",""reference"": ""5000"",""record"":""NO""}",,,,,charge_cmd==charge_pass,
,Common:checkVBUS,,,,,,"{""subsubtestname"": ""ChecK_VBUS"",""reference"": ""5000""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""BATT_Current"",""netname"":""BATT_CURRENT_BIG"",""unit"": ""mA""}",,,,,,
TrickleCharge_VBAT3V2_VBUS5V,Common:powerSupply,,,,,,"{""subsubtestname"":""SET_VBAT_3.2v"",""powertype"":""batt"",""start"":""2800"",""stop"":""3200"",""step"":""80"",""record"":""NO""}",,,,FA_ResetAll,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_MAIN_SNS"",""netname"":""PPVCC_MAIN""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_HIGH"",""netname"":""PPVCC_HIGH""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""IBAT_VBAT_3.2V"",""netname"":""BATT_CURRENT_BIG"",""unit"": ""mA""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_100MS"",""delay"":""100"",""record"":""NO""}",,,,,,
ChargeModeThreshold_VBUS5V_IBATT2000mA,Tech:chargeTest,,,[chg_result],,,"{""subsubtestname"":""VBATT_DIR_CHG"",""param1"":""test"",""start"":""3420"",""stop"":""4300"",""step"":""5""}",,,,,,
ChargeModeThreshold_VBUS5V,Tech:chargeTest,,[chg_result],,,,"{""subsubtestname"":""VHI_MIN"",""param1"":""res""}",,,,,,
,Common:powerSupply,,,,,,"{""subsubtestname"":""SET_VBAT_3V7"",""powertype"":""batt"",""start"":""3200"",""stop"":""3700"",""step"":""80"",""record"":""NO""}",,,,FA_ResetAll,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_MAIN_SNS_VBAT_3.7V"",""netname"":""PPVCC_MAIN""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_HIGH_VBAT_3.7V"",""netname"":""PPVCC_HIGH""}",,,,,,
,Common:powerSupply,,,,,,"{""subsubtestname"":""SET_VBAT_3V9"",""powertype"":""batt"",""start"":""3600"",""stop"":""3900"",""step"":""80"",""record"":""NO""}",,,,FA_ResetAll,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_500MS_1"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_MAIN_SNS_VBAT_3.9V"",""netname"":""PPVCC_MAIN""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPVCC_HIGH_VBAT_3.9V"",""netname"":""PPVCC_HIGH""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""USB_ilimit_1000mA_5V"",""record"":""NO""}",,,charge --setma 1000 --setmv 5000,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_500MS_2"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:powerSupply,,,,,,"{""subsubtestname"":""SET_VBAT_4V3"",""powertype"":""batt"",""start"":""3900"",""stop"":""4300"",""step"":""80"",""record"":""NO""}",,,,FA_ResetAll,,
StopCharge_VBUS5V,Common:powerSupply,,,,,,"{""subsubtestname"":""SET_VBAT_4V3"",""powertype"":""batt"",""record"":""NO""}",,,4300,FA_ResetAll,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_NTC_Status"",""pattern"": ""Data%s*:%s*(0x%x+)""}",,,i2c -z 2 -d 0x07 0x75 0x1420 1,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""Read_TBAT"",""pattern"": ""tbat:%s+([+-]?%d+%.?%d+)%s+C"",""parametric"": ""yes""}",,,pmuadc --sel potomac --read tbat,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""VBAT"",""pattern"": ""vbat:%s*(.-)%s*mV"",""parametric"": ""yes""}",,,pmuadc --sel potomac --read vbat,,,
,Common:delay,,,,,,"{""subsubtestname"":""Delay_500MS_1"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""BATT_SNS_Start"",""netname"":""BATT_SNS""}",,,,,,
,Common:readVoltage,,,,,,"{""subsubtestname"":""PPBATT_VCC_FB_Start"",""netname"":""PPBATT_VCC""}",,,,,,
,Common:sendCmdAndParse,,,,,,"{""subsubtestname"": ""USB_ilimit_2000mA_5V"",""record"":""NO""}",,,charge --setma 2000 --setmv 5000,,,
