TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
Fixture_SetUp,Tech:getSlotID,,,,,,"{""subsubtestname"":""CHANNEL_ID""}",,,,,
,Tech:fixture_get_version,,,,,,"{""subsubtestname"":""Dylib_And_Xavier_Version"",""attribute"":""Dylib_And_Xavier_Version""}",,,,,
IS_BOARD_DETECT,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""Is Board Detect""}",,,is_board_detect,,
FIXTURE_ENGAGE,Tech:sendFixtureCommand,,,,,,"{""subsubtestname"":""Engage Fixture""}",,,fixture_engage,,
FIXTURE_DISENGAGE,Tech:sendFixtureCommand,,,,,,"{""subsubtestname"":""Disengage Fixture""}",,,fixture_disengage,,
DFU_POWER_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""Enter DFU""}",,,enter_dfu,,
SET_UART_SIGNAL_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""SET UART SIGNAL ON""}",,,set_uart_signal_on,,
ENTER_DIAGS,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""Enter DIAGS""}",,,enter_diags,,
IBOOT_POWER_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""Enter IBOOT""}",,,enter_iboot,,
LED_RED_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED RED ON""}",,,led_red_on,,
LED_GREEN_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED GREEN ON""}",,,led_green_on,,
LED_INPROGRESS_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED INPROGRESS ON""}",,,led_inprogress_on,,
LED_GOTO_FA_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED GOTO FA ON""}",,,led_gotoFA_on,,
LED_PANIC_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED PANIC ON""}",,,led_panic_on,,
LED_OFF,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""LED OFF""}",,,led_off,,
POWER_OFF,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""POWER OFF""}",,,dut_power_off,,
USB_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""USB ON""}",,,usb_on,,
USB_OFF,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""USB OFF""}",,,usb_off,,
BATT_ON,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""BATT_ON""}",,,batt_on,,
BATT_OFF,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""BATT_OFF""}",,,batt_off,,
GET_SN,Tech:sendFixtureCommand,,,,,,"{""subsubtestname"":""GET UNIT SN""}",,,get_serialNumber,,
WAITFOR_FIXTURE_TO_CLOSE,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""WAIT FOR FIXTURE TO CLOSE""}",,,waitForFixtureToClose,,
IS_FIXTURE_CLOSED,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""IS FIXTURE CLOSED""}",,,isFixtureClosed,,
GET_USB_LOCATION,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""getUsbLocation""}",,,getUsbLocation,,
GET_VENDOR_ID,Tech:sendFixtureCommand,,,,,,"{""subsubtestname"":""getVendorId""}",,,getVendorId,,
IS_FAN_OK,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""IS FAN OK""}",,,isFanOk,,
SET_FAN_SPEED_0,Tech:sendFixtureSlotCommand,,,,,,"{""args"":""0"",""subsubtestname"":""SET FAN SPEED 0""}",,,setFanSpeed,,
SET_FAN_SPEED_100,Tech:sendFixtureSlotCommand,,,,,,"{""args"":""100"",""subsubtestname"":""SET FAN SPEED 100""}",,,setFanSpeed,,
GET_FAN_SPEED,Tech:sendFixtureSlotCommand,,,,,,"{""subsubtestname"":""GET FAN SPEED""}",,,getFanSpeed,,
