TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
SOC,Tech:getMemorySize,,[enter_iboot_log],[MEMORY_SIZE],3,,"{""subsubtestname"": ""Memory_Size"", ""attribute"": ""MEMORY_SIZE"", ""pattern"": ""Memory_size:\\s+(\\d+)"",""divisor"":""1024""}",,,,,
,Common:sendCmdAndCreateRecord,,,(boardid_resp),3,,"{""subsubtestname"": ""QUERY_BOARD_ID"",""expect"":""0x0"",""passnoshow"":""YES""}",,,boardid,,
,Common:regexParseString,,(boardid_resp),[BOARD_ID],,,"{""subsubtestname"": ""BOARD_ID"", ""attribute"": ""BOARDID"", ""pattern"": ""Board id: (0x[0-9A-Fa-f]+)""}",,,,,
,Tech:setTypeCondition,,(boardid_resp),{mlb_type},,,"{""subsubtestname"": ""BOARD_ID_SET"", ""mlb_b"": ""0x06""}",,,,FA_DutInfo,
,Common:sendCmdAndCreateRecord,,,(chipid_resp),3,,"{""subsubtestname"": ""QUERY_CHIP_ID"",""passnoshow"":""YES""}",,,chipid,,
,Common:regexParseString,,(chipid_resp),[Chip_ID],,,"{""subsubtestname"": ""Chip_ID"", ""attribute"": ""Chip_ID"", ""pattern"": ""Chip  ID:\\s+(\\w+)\\s+Version:""}",,,,,
,Common:regexParseString,,(chipid_resp),[Chip_Ver],,,"{""subsubtestname"": ""Chip_Ver"", ""attribute"": ""Chip_Ver"", ""pattern"": ""Version:\\s+([0-9a-zA-Z.]+)""}",,,,,
,Common:regexParseString,,(chipid_resp),[DIE_ID],,,"{""subsubtestname"": ""DIE_ID"", ""attribute"": ""DIE_ID"", ""pattern"": ""Die   ID:\\s+([0-9A-Z:]+)""}",,,,,
,Common:regexParseString,,(chipid_resp),[FUSE_ID],,,"{""subsubtestname"": ""FUSE_ID"", ""attribute"": ""FUSE_ID"", ""pattern"": ""Fuse  ID:\\s+([0-9A-Z:]+)""}",,,,,
,Common:regexParseString,,(chipid_resp),[ECID],,,"{""subsubtestname"": ""ECID"", ""attribute"": ""ECID"", ""pattern"": ""ECID    :\\s+(0x[0-9A-F]+)""}",,,,,
RTC,Common:sendCmdAndCreateRecord,,,,3,,"{""subsubtestname"": ""CB_INIT"",""expect"":""OK""}",,,cbinit,,
,Common:sendCmdAndCreateRecord,,,,3,,"{""subsubtestname"": ""SYSCFG_INIT"",""expect"":""Finish""}",,,"syscfg init",,
,Common:setRTC,,,,3,,"{""subsubtestname"": ""SET_RTC""}",,,,,
,Common:sendCmdAndCreateRecord,,,,3,,"{""subsubtestname"": ""GET_RTC"",""expect"":""RTC_Time""}",,,"rtc --get",,
SN,Tech:writeAndCompareSN,,[sn],,,,"{""subsubtestname"": ""writeAndRead_SN""}",,,,,
CFG,Tech:writeAndCompareCFG,,[sn],,,,"{""subsubtestname"": ""writeAndRead_CFG""}",,,,,
SOC-P,Common:sendCmdAndCreateRecord,,,(soc_p_resp),5,,"{""subsubtestname"": ""SOC-P"",""subtestname"": ""SOC"",""passnoshow"":""YES""}",,,"soc -p",,
,Common:regexParseString,,(soc_p_resp),[PRODUCTION_SOC],,,"{""subsubtestname"": ""Production_Mode"", ""attribute"": ""PRODUCTION_SOC"",""subtestname"": ""SOC"", ""pattern"": ""production-mode:\\s([0-9]+)""}",,,,,
CB-Incomplete,Common:sendCmdAndCreateRecord,,,,,,"{""subsubtestname"": ""Write_DFU_CB_Incomplete"",""expect"":""OK"",""subtestname"": ""CB""}",,,"cbwrite 0x00 incomplete",,
CB,Tech:writeICTCB,,[sn],,,,"{""subsubtestname"": ""Write_ICT_CB""}",,,,,
,Common:sendCmdAndCreateRecord,,,,5,,"{""subsubtestname"": ""Read_ICT_CB"",""expect"":""Passed""}",,,"cbread 0x0a",,
,Common:sendCmdAndCreateRecord,Y,,,5,,"{""subsubtestname"": ""Read_DFU_CB"",""expect"":""Passed""}",,,"cbread 0x00",,
finishProcessControl,Common:zipLog,,,,,,"{""subsubtestname"": ""Zip fixture log and Upload to PDCA""}",,,,FA_ProcessControl,
,Common:enterEnv,,,,,,"{""subsubtestname"": ""Enter Diags finish""}",,,diags,FA_ProcessControl,
,Tech:setRTC,,,,60,,"{""subsubtestname"": ""Set RTC Finish""}",,,,FA_ProcessControl,
,Common:finishCB,,,,,,"{""subsubtestname"": ""Finish Process Control"",""dutPluginName"":""dut""}",,,,FA_ProcessControl,
,Common:sendData,,,,,,"{""subsubtestname"": ""shutdown_Finish""}",,,shutdown,FA_ProcessControl,
,Common:sleep,,,,,,"{""subsubtestname"": ""sleep 10s"",""time"":10}",,,,FA_ProcessControl,
,Common:sendFixtureSlotCommand,,,,,,"{""subsubtestname"": ""Turn on Green LED ""}",,,led_green_on,FA_ProcessControl,"didFail != TRUE"
,Common:sendFixtureSlotCommand,,,,,,"{""subsubtestname"": ""Red LED ON ""}",,,led_red_on,FA_ProcessControl,"didFail == TRUE"
finishProcessControl_DFU,Common:zipLog,,,,,,"{""subsubtestname"": ""Zip fixture log and Upload to PDCA""}",,,,,
,Common:finishCB,,,,,,"{""subsubtestname"": ""Finish Process Control"",""dutPluginName"":""dut""}",,,,,
,Common:relay_switch,,,,,,"{""testname"":""Power"",""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""Set_PDVBUS_0V_BeforeShutdown"",""netname"":""pdvbus"",""state"":""off""}",,,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""testname"":""Power"",""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"": ""SHUT_DOWN"",""shutdownDelimiter"":""Event off: Apfs""}",,,shutdown,,
,Common:sleep,,,,,,"{""subsubtestname"": ""sleep 3s"",""time"":3}",,,,,
startProcessControl,Common:setRTC,,,,,,"{""subsubtestname"": ""Set RTC Start""}",,,,,
,Common:startCB,,,,,,"{""subsubtestname"": ""Start Process Control"",""dutPluginName"":""dut""}",,,,,
