TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
DFU_Power_On,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""Fixture_Reset"",""netname"":""reset""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""VBATT_Power_Discharge_DFU"",""netname"":""vbatt_discharge"",""state"":""connect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""VBUS_Power_Discharge_DFU"",""netname"":""vbus_discharge"",""state"":""connect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""PPVCC_MAIN_Discharge_DFU"",""netname"":""ppvcc_main_discharge"",""state"":""connect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""PPVCC_HIGH_Discharge_DFU"",""netname"":""ppvcc_high_discharge"",""state"":""connect""}",,,,,
,Common:delay,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""DELAY_3000MS_DFU"",""delay"":""3000""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""VBATT_Power_Disconnect_DFU"",""netname"":""vbatt_discharge"",""state"":""disconnect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""VBUS_Power_Disconnect_DFU"",""netname"":""vbus_discharge"",""state"":""disconnect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""PPVCC_MAIN_Disconnect_DFU"",""netname"":""ppvcc_main_discharge"",""state"":""disconnect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Rail_Discharge-Initial"",""subsubtestname"":""PPVCC_HIGH_Disconnect_DFU"",""netname"":""ppvcc_high_discharge"",""state"":""disconnect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""SIB_OCP_OFF"",""netname"":""SIB_OCP_RESET"",""state"":""High""}",,,,,
,Common:relay_switch,Y,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""SAFETY_ADC_INIT"",""netname"":""SAFETY_DAC"",""state"":""INIT""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""PSU_12V_input_Connect"",""netname"":""psu_12v"",""state"":""connect""}",,,,,
,Common:relay_switch,,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""PSU_7V5_input_Connect"",""netname"":""psu_7v5"",""state"":""connect""}",,,,,
,Common:relay_switch,Y,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""set VBATT_OVP_NORMAL mode"",""netname"":""VBATT_OVP_4V6"",""state"":""SET""}",,,,,
,Common:relay_switch,Y,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""set VBATT_OCP_NORMAL mode"",""netname"":""VBATT_OCP_16A"",""state"":""SET""}",,,,,
,Common:relay_switch,Y,,,,,"{""subtestname"":""Safety_SetUp"",""subsubtestname"":""set VBATT_UVP_Value for 0V8"",""netname"":""VBATT_UVP_NORMAL"",""state"":""SET""}",,,,,
