TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
1,1,1618588654.933178,1618588654.971934,0.038756,GraphIndex0,SystemScheduler,slot2,13812817079277761745
2,1,1618588654.940757,1618588654.971873,0.031116,Init,SystemScheduler,slot2,13812817079277761745
5,2,1618588655.212038,1618588655.234675,0.022637,LED_INPROGRESS_ON,SystemScheduler,slot2,9157557522170673092
60,2,1618589675.254631,1618589679.363824,4.109193,Power_OFF,SystemScheduler,slot2,9157557522170673092
8,2,1618588665.703347,1618588669.370174,3.666827,DFU_Power_On,SystemScheduler,slot2,9157557522170673092
38,2,1618589630.169384,1618589630.219899,0.050515,Sensor_Vendor,SystemScheduler,slot2,9157557522170673092
22,2,1618589129.765421,1618589130.539332,0.773911,SOC-P,SystemScheduler,slot2,9157557522170673092
59,2,1618589675.023959,1618589675.251765,0.227806,SET_FAN_SPEED_0,SystemScheduler,slot2,9157557522170673092
10,2,1618588670.770108,1618589022.486974,351.716866,Restore,SystemScheduler,slot2,9157557522170673092
15,2,1618589025.168284,1618589025.179135,0.010851,Restore_check_SOF,SystemScheduler,slot2,9157557522170673092
55,2,1618589660.317202,1618589660.319357,0.002155,parallel-group-end-merge-globals-pre-CB,SystemScheduler,slot2,9157557522170673092
56,2,1618589660.320469,1618589660.322019,0.001550,parallel-group-end-merge-conditions-pre-CB,SystemScheduler,slot2,9157557522170673092
7,2,1618588655.674619,1618588665.699722,10.025103,Delay_For_Restore_Async,SystemScheduler,slot2,9157557522170673092
40,2,1618589630.252906,1618589631.120692,0.867786,Accel_Only_Test,SystemScheduler,slot2,9157557522170673092
41,2,1618589631.125816,1618589631.130787,0.004971,accel_only_test_fail,SystemScheduler,slot2,9157557522170673092
43,2,1618589632.073087,1618589635.130855,3.057768,accel_gyro_combo_mode_test,SystemScheduler,slot2,9157557522170673092
19,2,1618589071.014966,1618589093.024784,22.009818,RTOS,SystemScheduler,slot2,9157557522170673092
37,2,1618589624.921221,1618589639.120321,14.199100,Shorts_Test-Initial,SystemScheduler,slot2,9157557522170673092
32,2,1618589579.465883,1618589610.583818,31.117935,Smokey_PCIe_EYE,SystemScheduler,slot2,9157557522170673092
6,2,1618588655.237440,1618588655.671864,0.434424,SET_FAN_SPEED_100,SystemScheduler,slot2,9157557522170673092
21,2,1618589129.621893,1618589129.762889,0.140996,SOC,SystemScheduler,slot2,9157557522170673092
57,2,1618589660.323003,1618589660.500618,0.177615,CB,SystemScheduler,slot2,9157557522170673092
17,2,1618589032.483052,1618589051.845537,19.362485,Enter_Diags-Initial,SystemScheduler,slot2,9157557522170673092
54,2,1618589659.175314,1618589660.314512,1.139198,Initial-Test_End,SystemScheduler,slot2,9157557522170673092
47,2,1618589639.124133,1618589639.621280,0.497147,Firmware_Load-Diags,SystemScheduler,slot2,9157557522170673092
36,2,1618589620.083035,1618589630.162210,10.079175,Connect,SystemScheduler,slot2,9157557522170673092
12,2,1618588670.776159,1618589008.991137,338.214978,NonUI-DCSD,SystemScheduler,slot2,9157557522170673092
18,2,1618589051.848175,1618589071.012322,19.164147,SOC_Thermal-OffOn,SystemScheduler,slot2,9157557522170673092
53,2,1618589659.111667,1618589659.172744,0.061077,ANS_health_check,SystemScheduler,slot2,9157557522170673092
49,2,1618589639.666448,1618589639.851235,0.184787,Firmware_Load-End,SystemScheduler,slot2,9157557522170673092
28,2,1618589131.075094,1618589131.625996,0.550902,Initial-Test,SystemScheduler,slot2,9157557522170673092
35,2,1618589620.078097,1618589624.917325,4.839228,General_Info,SystemScheduler,slot2,9157557522170673092
26,2,1618589130.914601,1618589131.018914,0.104313,CFG,SystemScheduler,slot2,9157557522170673092
42,2,1618589631.132062,1618589632.069435,0.937373,accel_only_test_sec,SystemScheduler,slot2,9157557522170673092
20,2,1618589093.027278,1618589129.619249,36.591971,RBM,SystemScheduler,slot2,9157557522170673092
11,2,1618588670.772439,1618589025.157100,354.384661,Kernel_panic,SystemScheduler,slot2,9157557522170673092
58,2,1618589660.503719,1618589675.021210,14.517491,finishProcessControl_DFU,SystemScheduler,slot2,9157557522170673092
