TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
1,1,1618586509.175697,1618586509.215707,0.040010,GraphIndex0,SystemScheduler,slot2,13812817079277761745
2,1,1618586509.182599,1618586509.215679,0.033080,Init,SystemScheduler,slot2,13812817079277761745
5,2,1618586509.421065,1618586509.443408,0.022343,LED_INPROGRESS_ON,SystemScheduler,slot2,7856186021307596974
60,2,1618587500.252336,1618587512.336846,12.084510,Power_OFF,SystemScheduler,slot2,7856186021307596974
8,2,1618586519.910508,1618586523.560616,3.650108,DFU_Power_On,SystemScheduler,slot2,7856186021307596974
37,2,1618587449.031887,1618587449.077681,0.045794,Sensor_Vendor,SystemScheduler,slot2,7856186021307596974
22,2,1618586968.024937,1618586968.801080,0.776143,SOC-P,SystemScheduler,slot2,7856186021307596974
59,2,1618587500.016310,1618587500.249686,0.233376,SET_FAN_SPEED_0,SystemScheduler,slot2,7856186021307596974
10,2,1618586524.966027,1618586859.069191,334.103164,Restore,SystemScheduler,slot2,7856186021307596974
15,2,1618586861.421385,1618586861.432082,0.010697,Restore_check_SOF,SystemScheduler,slot2,7856186021307596974
55,2,1618587488.494342,1618587488.496525,0.002183,parallel-group-end-merge-globals-pre-CB,SystemScheduler,slot2,7856186021307596974
56,2,1618587488.497498,1618587488.499609,0.002111,parallel-group-end-merge-conditions-pre-CB,SystemScheduler,slot2,7856186021307596974
7,2,1618586509.886170,1618586519.905406,10.019236,Delay_For_Restore_Async,SystemScheduler,slot2,7856186021307596974
39,2,1618587449.105333,1618587449.971611,0.866278,Accel_Only_Test,SystemScheduler,slot2,7856186021307596974
40,2,1618587449.974514,1618587449.980280,0.005766,accel_only_test_fail,SystemScheduler,slot2,7856186021307596974
42,2,1618587450.923152,1618587453.972026,3.048874,accel_gyro_combo_mode_test,SystemScheduler,slot2,7856186021307596974
19,2,1618586908.054695,1618586930.451607,22.396912,RTOS,SystemScheduler,slot2,7856186021307596974
43,2,1618587453.146343,1618587467.356453,14.210110,Shorts_Test-Initial,SystemScheduler,slot2,7856186021307596974
32,2,1618587407.756341,1618587438.834635,31.078294,Smokey_PCIe_EYE,SystemScheduler,slot2,7856186021307596974
6,2,1618586509.447822,1618586509.882978,0.435156,SET_FAN_SPEED_100,SystemScheduler,slot2,7856186021307596974
21,2,1618586967.876272,1618586968.021977,0.145705,SOC,SystemScheduler,slot2,7856186021307596974
57,2,1618587488.500834,1618587488.695583,0.194749,CB,SystemScheduler,slot2,7856186021307596974
17,2,1618586868.747727,1618586888.069931,19.322204,Enter_Diags-Initial,SystemScheduler,slot2,7856186021307596974
54,2,1618587487.355053,1618587488.491577,1.136524,Initial-Test_End,SystemScheduler,slot2,7856186021307596974
49,2,1618587467.359384,1618587467.826463,0.467079,Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
36,2,1618587448.326557,1618587449.028937,0.702380,Connect,SystemScheduler,slot2,7856186021307596974
12,2,1618586524.973549,1618586836.796502,311.822953,NonUI-DCSD,SystemScheduler,slot2,7856186021307596974
18,2,1618586888.072337,1618586908.052100,19.979763,SOC_Thermal-OffOn,SystemScheduler,slot2,7856186021307596974
53,2,1618587487.292810,1618587487.352498,0.059688,ANS_health_check,SystemScheduler,slot2,7856186021307596974
47,2,1618587458.008403,1618587458.195820,0.187417,Firmware_Load-End,SystemScheduler,slot2,7856186021307596974
28,2,1618586969.382808,1618586969.936769,0.553961,Initial-Test,SystemScheduler,slot2,7856186021307596974
35,2,1618587448.323711,1618587453.143461,4.819750,General_Info,SystemScheduler,slot2,7856186021307596974
26,2,1618586969.222618,1618586969.326227,0.103609,CFG,SystemScheduler,slot2,7856186021307596974
41,2,1618587449.983160,1618587450.920016,0.936856,accel_only_test_sec,SystemScheduler,slot2,7856186021307596974
20,2,1618586930.454949,1618586967.873576,37.418627,RBM,SystemScheduler,slot2,7856186021307596974
11,2,1618586524.969906,1618586861.412628,336.442722,Kernel_panic,SystemScheduler,slot2,7856186021307596974
58,2,1618587488.698384,1618587500.013688,11.315304,finishProcessControl_DFU,SystemScheduler,slot2,7856186021307596974
24,2,1618586968.950316,1618586969.047115,0.096799,SN,SystemScheduler,slot2,7856186021307596974
44,2,1618587453.974505,1618587455.196746,1.222241,Phosphorus_Test,SystemScheduler,slot2,7856186021307596974
4,2,1618586509.379660,1618586509.417926,0.038266,Fixture_SetUp,SystemScheduler,slot2,7856186021307596974
14,2,1618586861.418102,1618586861.420177,0.002075,parallel-group-end-merge-conditions-pre-Restore_check_SOF,SystemScheduler,slot2,7856186021307596974
31,2,1618587407.656481,1618587407.753707,0.097226,Syscfg_Check-WSKU_sanity_check,SystemScheduler,slot2,7856186021307596974
23,2,1618586968.803703,1618586968.947782,0.144079,RTC,SystemScheduler,slot2,7856186021307596974
33,2,1618587438.837473,1618587446.365989,7.528516,Smokey_PCIe_EYE_Sec,SystemScheduler,slot2,7856186021307596974
38,2,1618587449.080253,1618587449.102851,0.022598,Type,SystemScheduler,slot2,7856186021307596974
