TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
1,1,1618587560.689198,1618587560.728224,0.039026,GraphIndex0,SystemScheduler,slot2,13812817079277761745
2,1,1618587560.696479,1618587560.728197,0.031718,Init,SystemScheduler,slot2,13812817079277761745
5,2,1618587560.935279,1618587560.958533,0.023254,LED_INPROGRESS_ON,SystemScheduler,slot2,7856186021307596974
60,2,1618588613.130229,1618588617.247388,4.117159,Power_OFF,SystemScheduler,slot2,7856186021307596974
8,2,1618587581.638565,1618587585.277112,3.638547,DFU_Power_On,SystemScheduler,slot2,7856186021307596974
37,2,1618588561.598412,1618588561.641999,0.043587,Sensor_Vendor,SystemScheduler,slot2,7856186021307596974
22,2,1618588041.467834,1618588042.253258,0.785424,SOC-P,SystemScheduler,slot2,7856186021307596974
59,2,1618588612.899059,1618588613.127667,0.228608,SET_FAN_SPEED_0,SystemScheduler,slot2,7856186021307596974
10,2,1618587586.681748,1618587932.538044,345.856296,Restore,SystemScheduler,slot2,7856186021307596974
15,2,1618587934.514547,1618587934.524907,0.010360,Restore_check_SOF,SystemScheduler,slot2,7856186021307596974
55,2,1618588601.283066,1618588601.284712,0.001646,parallel-group-end-merge-globals-pre-CB,SystemScheduler,slot2,7856186021307596974
56,2,1618588601.285670,1618588601.287742,0.002072,parallel-group-end-merge-conditions-pre-CB,SystemScheduler,slot2,7856186021307596974
7,2,1618587561.616877,1618587581.634756,20.017879,Delay_For_Restore_Async,SystemScheduler,slot2,7856186021307596974
39,2,1618588561.668217,1618588562.532768,0.864551,Accel_Only_Test,SystemScheduler,slot2,7856186021307596974
40,2,1618588562.535311,1618588562.541092,0.005781,accel_only_test_fail,SystemScheduler,slot2,7856186021307596974
42,2,1618588563.478924,1618588566.510795,3.031871,accel_gyro_combo_mode_test,SystemScheduler,slot2,7856186021307596974
19,2,1618587981.157144,1618588003.662457,22.505313,RTOS,SystemScheduler,slot2,7856186021307596974
43,2,1618588565.943995,1618588580.143758,14.199763,Shorts_Test-Initial,SystemScheduler,slot2,7856186021307596974
32,2,1618588518.897864,1618588550.577994,31.680130,Smokey_PCIe_EYE,SystemScheduler,slot2,7856186021307596974
6,2,1618587560.961248,1618587561.613785,0.652537,SET_FAN_SPEED_100,SystemScheduler,slot2,7856186021307596974
21,2,1618588041.322819,1618588041.465373,0.142554,SOC,SystemScheduler,slot2,7856186021307596974
57,2,1618588601.288801,1618588601.499033,0.210232,CB,SystemScheduler,slot2,7856186021307596974
17,2,1618587941.823258,1618587961.055533,19.232275,Enter_Diags-Initial,SystemScheduler,slot2,7856186021307596974
54,2,1618588600.144851,1618588601.280483,1.135632,Initial-Test_End,SystemScheduler,slot2,7856186021307596974
49,2,1618588580.146504,1618588580.613041,0.466537,Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
36,2,1618588561.116553,1618588561.595396,0.478843,Connect,SystemScheduler,slot2,7856186021307596974
12,2,1618587586.689003,1618587911.524206,324.835203,NonUI-DCSD,SystemScheduler,slot2,7856186021307596974
18,2,1618587961.058152,1618587981.154597,20.096445,SOC_Thermal-OffOn,SystemScheduler,slot2,7856186021307596974
53,2,1618588600.082310,1618588600.142275,0.059965,ANS_health_check,SystemScheduler,slot2,7856186021307596974
47,2,1618588570.542764,1618588570.748427,0.205663,Firmware_Load-End,SystemScheduler,slot2,7856186021307596974
28,2,1618588042.762470,1618588043.313673,0.551203,Initial-Test,SystemScheduler,slot2,7856186021307596974
35,2,1618588561.113561,1618588565.941488,4.827927,General_Info,SystemScheduler,slot2,7856186021307596974
26,2,1618588042.615806,1618588042.719530,0.103724,CFG,SystemScheduler,slot2,7856186021307596974
41,2,1618588562.543671,1618588563.476130,0.932459,accel_only_test_sec,SystemScheduler,slot2,7856186021307596974
20,2,1618588003.664911,1618588041.320395,37.655484,RBM,SystemScheduler,slot2,7856186021307596974
11,2,1618587586.685367,1618587934.505850,347.820483,Kernel_panic,SystemScheduler,slot2,7856186021307596974
58,2,1618588601.501673,1618588612.895932,11.394259,finishProcessControl_DFU,SystemScheduler,slot2,7856186021307596974
24,2,1618588042.371015,1618588042.486720,0.115705,SN,SystemScheduler,slot2,7856186021307596974
44,2,1618588566.513674,1618588567.725689,1.212015,Phosphorus_Test,SystemScheduler,slot2,7856186021307596974
4,2,1618587560.887329,1618587560.930660,0.043331,Fixture_SetUp,SystemScheduler,slot2,7856186021307596974
14,2,1618587934.511679,1618587934.513660,0.001981,parallel-group-end-merge-conditions-pre-Restore_check_SOF,SystemScheduler,slot2,7856186021307596974
