TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
4,1,1636342209.134190,1636342209.166840,0.032650,dataReportSetup,SystemScheduler,slot4,15528531130531427862
3,1,1636342209.103386,1636342209.129330,0.025944,getScannedSN,SystemScheduler,slot4,15528531130531427862
2,1,1636342209.041817,1636342209.096110,0.054293,GetCMSite,SystemScheduler,slot4,15528531130531427862
1,1,1636342209.029368,1636342209.166862,0.137494,GraphIndex0,SystemScheduler,slot4,15528531130531427862
46,2,1636342902.995295,1636342903.697013,0.701718,Info_2,SystemScheduler,slot4,16428178491954807305
44,2,1636342902.319933,1636342902.804865,0.484932,UnderVoltageWarning_Stowe,SystemScheduler,slot4,16428178491954807305
45,2,1636342902.807352,1636342902.992662,0.185310,UnderVoltageWarning_Vale,SystemScheduler,slot4,16428178491954807305
36,2,1636342878.911485,1636342890.226489,11.315004,Reset_Diags,SystemScheduler,slot4,16428178491954807305
50,2,1636342960.005487,1636343414.620820,454.615333,SmokeyTest_WDFU,SystemScheduler,slot4,16428178491954807305
58,2,1636343436.828887,1636343436.905184,0.076297,Info_ISP,SystemScheduler,slot4,16428178491954807305
66,2,1636343479.830519,1636343482.872888,3.042369,SensorData_FS8g_ODR200HZ_Zup,SystemScheduler,slot4,16428178491954807305
72,2,1636343489.500530,1636343761.971574,272.471044,PCIeEnum_S5e,SystemScheduler,slot4,16428178491954807305
75,2,1636344066.512492,1636344092.495681,25.983189,PCIeEnum_Baseband,SystemScheduler,slot4,16428178491954807305
53,2,1636343414.799710,1636343424.071368,9.271658,Baseband,SystemScheduler,slot4,16428178491954807305
62,2,1636343474.575250,1636343474.701864,0.126614,SensorData_VendorInfor,SystemScheduler,slot4,16428178491954807305
49,2,1636342916.979436,1636342960.002714,43.023278,Info_SEP,SystemScheduler,slot4,16428178491954807305
57,2,1636343430.259099,1636343436.826311,6.567212,NFC,SystemScheduler,slot4,16428178491954807305
23,2,1636342781.629922,1636342788.448428,6.818506,Discharge_Initial_2,SystemScheduler,slot4,16428178491954807305
80,2,1636344098.059068,1636344098.183929,0.124861,finishProcessControl,SystemScheduler,slot4,16428178491954807305
43,2,1636342902.004107,1636342902.317417,0.313310,MLBCFG,SystemScheduler,slot4,16428178491954807305
39,2,1636342901.501889,1636342901.557975,0.056086,CB_1,SystemScheduler,slot4,16428178491954807305
16,2,1636342227.989334,1636342228.228517,0.239183,Restore_DFUMode,SystemScheduler,slot4,16428178491954807305
31,2,1636342854.022877,1636342854.109103,0.086226,RTOSFW,SystemScheduler,slot4,16428178491954807305
6,2,1636342209.396996,1636342209.442505,0.045509,Channel,SystemScheduler,slot4,16428178491954807305
47,2,1636342903.699839,1636342908.754923,5.055084,Info_GBBTest_1,SystemScheduler,slot4,16428178491954807305
76,2,1636344092.498128,1636344097.657676,5.159548,Info_GBBTest_2,SystemScheduler,slot4,16428178491954807305
13,2,1636342219.221433,1636342221.722580,2.501147,VoltageCheck_Safety_VBUS5V,SystemScheduler,slot4,16428178491954807305
56,2,1636343430.024722,1636343430.256547,0.231825,Wifi_2,SystemScheduler,slot4,16428178491954807305
17,2,1636342228.231557,1636342780.261618,552.030061,Restore_NonUI_DCSD_1,SystemScheduler,slot4,16428178491954807305
59,2,1636343436.908124,1636343472.599646,35.691522,SmokeyTest_TouchInitial,SystemScheduler,slot4,16428178491954807305
7,2,1636342209.444941,1636342209.492099,0.047158,SoftwareCheck,SystemScheduler,slot4,16428178491954807305
22,2,1636342781.299652,1636342781.627177,0.327525,Restore_NonUI_DCSD_3,SystemScheduler,slot4,16428178491954807305
27,2,1636342814.008115,1636342814.256105,0.247990,Syscfg_List_1,SystemScheduler,slot4,16428178491954807305
19,2,1636342228.237453,1636342668.053862,439.816409,Ace_Provisioning_Power,SystemScheduler,slot4,16428178491954807305
78,2,1636344097.768211,1636344097.830530,0.062319,CB_2,SystemScheduler,slot4,16428178491954807305
26,2,1636342793.693787,1636342814.005479,20.311692,Transition_Diags_1,SystemScheduler,slot4,16428178491954807305
20,2,1636342781.280240,1636342781.297082,0.016842,parallel-group-end-merge-globals-pre-Restore_NonUI_DCSD_3,SystemScheduler,slot4,16428178491954807305
33,2,1636342854.153665,1636342878.771894,24.618229,Transition_RBM_1,SystemScheduler,slot4,16428178491954807305
60,2,1636343472.602512,1636343473.818027,1.215515,LoadFW,SystemScheduler,slot4,16428178491954807305
65,2,1636343478.822997,1636343479.827889,1.004892,SensorData_AccelNormal,SystemScheduler,slot4,16428178491954807305
12,2,1636342215.985046,1636342219.219006,3.233960,VoltageCheck_Safety_VBAT0V8,SystemScheduler,slot4,16428178491954807305
68,2,1636343487.640442,1636343487.688383,0.047941,SensorData_IDInfor,SystemScheduler,slot4,16428178491954807305
35,2,1636342878.865868,1636342878.908615,0.042747,Transition_RBM_2,SystemScheduler,slot4,16428178491954807305
81,2,1636344098.186533,1636344103.544401,5.357868,Discharge_3,SystemScheduler,slot4,16428178491954807305
37,2,1636342890.229333,1636342900.441131,10.211798,Transition_Diags_2,SystemScheduler,slot4,16428178491954807305
38,2,1636342900.443722,1636342901.499329,1.055607,Info_1,SystemScheduler,slot4,16428178491954807305
41,2,1636342901.655219,1636342901.840808,0.185589,MLBSN,SystemScheduler,slot4,16428178491954807305
34,2,1636342878.774429,1636342878.863429,0.089000,RBMFW,SystemScheduler,slot4,16428178491954807305
21,2,1636342781.282397,1636342781.284618,0.002221,parallel-group-end-merge-conditions-pre-Restore_NonUI_DCSD_3,SystemScheduler,slot4,16428178491954807305
61,2,1636343473.820597,1636343474.572731,0.752134,ConnectivityTest_SPI,SystemScheduler,slot4,16428178491954807305
69,2,1636343487.691385,1636343487.745602,0.054217,SensorData_FS2000dps_ODR200HZ,SystemScheduler,slot4,16428178491954807305
74,2,1636344041.405885,1636344066.509982,25.104097,PCIeEnum_Wifi,SystemScheduler,slot4,16428178491954807305
48,2,1636342908.757363,1636342916.976975,8.219612,Reset,SystemScheduler,slot4,16428178491954807305
77,2,1636344097.660179,1636344097.765756,0.105577,Info_ANS_HealthTest,SystemScheduler,slot4,16428178491954807305
24,2,1636342788.451330,1636342790.056402,1.605072,Reset_OCP,SystemScheduler,slot4,16428178491954807305
70,2,1636343487.748290,1636343489.446767,1.698477,SensorData,SystemScheduler,slot4,16428178491954807305
64,2,1636343478.776651,1636343478.820007,0.043356,SensorData_FS8g_ODR100HZ_Zup,SystemScheduler,slot4,16428178491954807305
14,2,1636342221.725067,1636342224.532346,2.807279,VoltageCheck_Safety_VBAT4V2,SystemScheduler,slot4,16428178491954807305
51,2,1636343414.623435,1636343414.699815,0.076380,Syscfg_RFEM,SystemScheduler,slot4,16428178491954807305
54,2,1636343424.074051,1636343429.071525,4.997474,Wifi_1,SystemScheduler,slot4,16428178491954807305
29,2,1636342814.391480,1636342835.607728,21.216248,Temperature,SystemScheduler,slot4,16428178491954807305
42,2,1636342901.843320,1636342902.001605,0.158285,startProcessControl,SystemScheduler,slot4,16428178491954807305
18,2,1636342228.233818,1636342781.277841,553.044023,Restore_NonUI_DCSD_2,SystemScheduler,slot4,16428178491954807305
30,2,1636342835.610444,1636342854.020289,18.409845,Transition_RTOS_1,SystemScheduler,slot4,16428178491954807305
63,2,1636343474.704300,1636343478.774196,4.069896,SensorData_AccelOnly,SystemScheduler,slot4,16428178491954807305
79,2,1636344097.832989,1636344098.056392,0.223403,Syscfg_List_2,SystemScheduler,slot4,16428178491954807305
9,2,1636342210.041057,1636342211.303411,1.262354,GeneralAction_1,SystemScheduler,slot4,16428178491954807305
67,2,1636343482.875799,1636343487.637419,4.761620,SensorData_GyroNormal,SystemScheduler,slot4,16428178491954807305
11,2,1636342215.622162,1636342215.982552,0.360390,GeneralAction_2,SystemScheduler,slot4,16428178491954807305
