TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
4,1,1636401475.846627,1636401475.881543,0.034916,dataReportSetup,SystemScheduler,slot4,15528531130531427862
3,1,1636401475.814078,1636401475.841730,0.027652,getScannedSN,SystemScheduler,slot4,15528531130531427862
2,1,1636401475.750142,1636401475.805639,0.055497,GetCMSite,SystemScheduler,slot4,15528531130531427862
1,1,1636401475.742150,1636401475.881561,0.139411,GraphIndex0,SystemScheduler,slot4,15528531130531427862
46,2,1636402395.350114,1636402396.101486,0.751372,Info_2,SystemScheduler,slot4,1337973572920727165
44,2,1636402394.631614,1636402395.132168,0.500554,UnderVoltageWarning_Stowe,SystemScheduler,slot4,1337973572920727165
45,2,1636402395.134626,1636402395.347694,0.213068,UnderVoltageWarning_Vale,SystemScheduler,slot4,1337973572920727165
36,2,1636402371.168749,1636402382.483041,11.314292,Reset_Diags,SystemScheduler,slot4,1337973572920727165
50,2,1636402452.553368,1636402908.608836,456.055468,SmokeyTest_WDFU,SystemScheduler,slot4,1337973572920727165
58,2,1636402928.712335,1636402928.786244,0.073909,Info_ISP,SystemScheduler,slot4,1337973572920727165
66,2,1636402972.424430,1636402975.423399,2.998969,SensorData_FS8g_ODR200HZ_Zup,SystemScheduler,slot4,1337973572920727165
53,2,1636402908.818018,1636402918.027059,9.209041,Baseband,SystemScheduler,slot4,1337973572920727165
62,2,1636402967.092764,1636402967.214065,0.121301,SensorData_VendorInfor,SystemScheduler,slot4,1337973572920727165
49,2,1636402409.533676,1636402452.550851,43.017175,Info_SEP,SystemScheduler,slot4,1337973572920727165
57,2,1636402924.187335,1636402928.709869,4.522534,NFC,SystemScheduler,slot4,1337973572920727165
23,2,1636402271.796036,1636402276.068585,4.272549,Discharge_Initial_2,SystemScheduler,slot4,1337973572920727165
80,2,1636403591.039321,1636403591.261745,0.222424,CB_Finish,SystemScheduler,slot4,1337973572920727165
43,2,1636402394.525640,1636402394.629197,0.103557,MLBCFG,SystemScheduler,slot4,1337973572920727165
39,2,1636402393.933233,1636402394.002867,0.069634,CB_1,SystemScheduler,slot4,1337973572920727165
16,2,1636401495.510369,1636401495.760079,0.249710,Restore_DFUMode,SystemScheduler,slot4,1337973572920727165
31,2,1636402346.158642,1636402346.273381,0.114739,RTOSFW,SystemScheduler,slot4,1337973572920727165
6,2,1636401476.111365,1636401476.153258,0.041893,Channel,SystemScheduler,slot4,1337973572920727165
47,2,1636402396.103877,1636402401.251414,5.147537,Info_GBBTest_1,SystemScheduler,slot4,1337973572920727165
76,2,1636403585.289691,1636403590.493094,5.203403,Info_GBBTest_2,SystemScheduler,slot4,1337973572920727165
13,2,1636401486.284605,1636401488.652108,2.367503,VoltageCheck_Safety_VBUS5V,SystemScheduler,slot4,1337973572920727165
56,2,1636402923.956073,1636402924.184791,0.228718,Wifi_2,SystemScheduler,slot4,1337973572920727165
17,2,1636401495.762993,1636402271.094063,775.331070,Restore_NonUI_DCSD_1,SystemScheduler,slot4,1337973572920727165
59,2,1636402928.788725,1636402965.008293,36.219568,SmokeyTest_TouchInitial,SystemScheduler,slot4,1337973572920727165
7,2,1636401476.155752,1636401476.205354,0.049602,SoftwareCheck,SystemScheduler,slot4,1337973572920727165
22,2,1636402271.384341,1636402271.793405,0.409064,Restore_NonUI_DCSD_3,SystemScheduler,slot4,1337973572920727165
27,2,1636402303.798239,1636402306.117741,2.319502,Syscfg_List_1,SystemScheduler,slot4,1337973572920727165
19,2,1636401495.769566,1636402177.632055,681.862489,Ace_Provisioning_Power,SystemScheduler,slot4,1337973572920727165
78,2,1636403590.607172,1636403590.784289,0.177117,CB_2,SystemScheduler,slot4,1337973572920727165
26,2,1636402283.077251,1636402303.795675,20.718424,Transition_Diags_1,SystemScheduler,slot4,1337973572920727165
20,2,1636402271.355855,1636402271.381544,0.025689,parallel-group-end-merge-globals-pre-Restore_NonUI_DCSD_3,SystemScheduler,slot4,1337973572920727165
33,2,1636402346.329159,1636402370.976193,24.647034,Transition_RBM_1,SystemScheduler,slot4,1337973572920727165
60,2,1636402965.011061,1636402966.324967,1.313906,LoadFW,SystemScheduler,slot4,1337973572920727165
65,2,1636402971.405388,1636402972.421952,1.016564,SensorData_AccelNormal,SystemScheduler,slot4,1337973572920727165
12,2,1636401483.380951,1636401486.281815,2.900864,VoltageCheck_Safety_VBAT0V8,SystemScheduler,slot4,1337973572920727165
68,2,1636402980.230998,1636402980.285039,0.054041,SensorData_IDInfor,SystemScheduler,slot4,1337973572920727165
35,2,1636402371.112204,1636402371.166229,0.054025,Transition_RBM_2,SystemScheduler,slot4,1337973572920727165
81,2,1636403591.264306,1636403596.640349,5.376043,Discharge_3,SystemScheduler,slot4,1337973572920727165
37,2,1636402382.485474,1636402392.828582,10.343108,Transition_Diags_2,SystemScheduler,slot4,1337973572920727165
38,2,1636402392.831470,1636402393.930629,1.099159,Info_1,SystemScheduler,slot4,1337973572920727165
41,2,1636402394.147844,1636402394.347052,0.199208,MLBSN,SystemScheduler,slot4,1337973572920727165
34,2,1636402370.979012,1636402371.109648,0.130636,RBMFW,SystemScheduler,slot4,1337973572920727165
21,2,1636402271.358236,1636402271.360649,0.002413,parallel-group-end-merge-conditions-pre-Restore_NonUI_DCSD_3,SystemScheduler,slot4,1337973572920727165
42,2,1636402394.350118,1636402394.523176,0.173058,CB_Start,SystemScheduler,slot4,1337973572920727165
61,2,1636402966.327411,1636402967.090093,0.762682,GPIOCheck_SPI_ConnectivityTest,SystemScheduler,slot4,1337973572920727165
69,2,1636402980.287505,1636402980.349027,0.061522,SensorData_FS2000dps_ODR200HZ,SystemScheduler,slot4,1337973572920727165
74,2,1636403534.101589,1636403559.216316,25.114727,PCIeBIST_Wifi,SystemScheduler,slot4,1337973572920727165
72,2,1636402982.108866,1636403254.646976,272.538110,PCIeBIST_S5e,SystemScheduler,slot4,1337973572920727165
48,2,1636402401.254019,1636402409.531194,8.277175,Reset,SystemScheduler,slot4,1337973572920727165
77,2,1636403590.498586,1636403590.604624,0.106038,Info_ANS_HealthTest,SystemScheduler,slot4,1337973572920727165
24,2,1636402276.071112,1636402277.667374,1.596262,Reset_OCP,SystemScheduler,slot4,1337973572920727165
70,2,1636402980.351583,1636402982.052583,1.701000,SensorData,SystemScheduler,slot4,1337973572920727165
64,2,1636402971.347232,1636402971.402257,0.055025,SensorData_FS8g_ODR100HZ_Zup,SystemScheduler,slot4,1337973572920727165
14,2,1636401488.654586,1636401492.350859,3.696273,VoltageCheck_Safety_VBAT4V2,SystemScheduler,slot4,1337973572920727165
51,2,1636402908.611524,1636402908.700580,0.089056,Syscfg_RFEM,SystemScheduler,slot4,1337973572920727165
54,2,1636402918.030562,1636402923.009277,4.978715,Wifi_1,SystemScheduler,slot4,1337973572920727165
29,2,1636402306.232982,1636402327.612095,21.379113,Temperature,SystemScheduler,slot4,1337973572920727165
18,2,1636401495.765409,1636402271.353087,775.587678,Restore_NonUI_DCSD_2,SystemScheduler,slot4,1337973572920727165
30,2,1636402327.614803,1636402346.155861,18.541058,Transition_RTOS_1,SystemScheduler,slot4,1337973572920727165
63,2,1636402967.216548,1636402971.344759,4.128211,SensorData_AccelOnly,SystemScheduler,slot4,1337973572920727165
79,2,1636403590.787107,1636403591.036782,0.249675,Syscfg_List_2,SystemScheduler,slot4,1337973572920727165
9,2,1636401478.987553,1636401479.230723,0.243170,GeneralAction_1,SystemScheduler,slot4,1337973572920727165
67,2,1636402975.425915,1636402980.228550,4.802635,SensorData_GyroNormal,SystemScheduler,slot4,1337973572920727165
