attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
SwName,LN DFU,,,,,,,,,,,,,,,
SwVersion,A_2.33.0.2-M_2.1.0-S0.0.8,,,,,,,,,,,,,,,
PrimaryIdentity,DLX1456006D1M9L11,,,,,,,,,,,,,,,
LimitVersion,v1.0.0,,,,,,,,,,,,,,,
FixtureID,SC20210131LH-000004,,,,,,,,,,,,,,,
HeadID,4,,,,,,,,,,,,,,,
,,Fixture,Channel,ID,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Fixture,Channel,CHANNEL_ID,NA,4,4,1,NA,,0,PASS,No user failure message was provided,,,
Xavier_FW_Version,10.6.12,,,,,,,,,,,,,,,
,,Fixture,SoftwareCheck,Xavier_FW_Version,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Fixture,GeneralAction_5,LED_INPROGRESS_ON,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Fixture,GeneralAction_1,TACH100_Fan_ON,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,VBATT_Power_Discharge_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,VBUS_Power_Discharge_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,PPVCC_MAIN_Discharge_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,PPVCC_HIGH_Discharge_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,DELAY_3000MS_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,VBATT_Power_Disconnect_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,VBUS_Power_Disconnect_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,PPVCC_MAIN_Disconnect_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,Discharge_Initial_1,PPVCC_HIGH_Disconnect_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Fixture,GeneralAction_2,Reset_Initial,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Set_VBATT_OVP_4V6,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Set_VBATT_OCP_3A,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Set_VBATT_UVP_0V6,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Set_VCCMAIN_UVP_0V6,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,PSU_12V_Input_Connect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,PSU_7V5_Input_Connect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Set_VBATT_To_800mV,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT0V8,Delay_30ms_After_Set_800mV,,1,1,0,,,,PASS,No user failure message was provided,,,
