TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
UnderVoltageWarning_Stowe,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Enable_Test_mode"",""expect"":""OK""}",,,reg select stowe;reg write 0xfe00 0x61 0x45 0x72 0x4F,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Read_Test_mode"",""pattern"": ""0xFE05\\s*=>\\s*(\\w+)""}",,,reg read 0xfe05,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Config_PMU_Trigger"",""expect"":""OK""}",,,reg write 0x18b6 0x1C;reg write 0x18ba 0x1C;reg write 0x18be 0x1C;reg write 0x18c2 0x1C;reg write 0x18b2 0x03,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_0_LOW"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 208 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_2_LOW"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 209 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_3_LOW"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 211 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_4_LOW"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 212 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Set_Throttle_Outputs_High"",""expect"":""OK""}",,,reg write 0x18c5 0x0,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_0_HIGH"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 208 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_2_HIGH"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 209 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_3_HIGH"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 211 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""GPIO_PMU_TO_SOC_TRIGGER_4_HIGH"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 212 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Set_Throttle_Outputs_Default"",""expect"":""OK""}",,,reg write 0x18b6 0x14;reg write 0x18ba 0x14;reg write 0x18be 0x04;reg write 0x18c2 0x0c;reg write 0x18b2 0x00,,,
UnderVoltageWarning_Vale,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Enable_Test_mode"",""expect"":""OK""}",,,reg select vale;reg write 0x3100 0x61 0x45 0x72 0x4F,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Read_Test_mode"",""isparametric"":""YES"",""pattern"": ""0x3105\\s*=>\\s*(\\w+)""}",,,reg read 0x3105,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Config_PMU_Trigger"",""expect"":""OK""}",,,reg write 0x1839 0x03,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""SIMETRA_UVWARN_L_LOW"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 210 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Set_Throttle_Outputs_High"",""expect"":""OK""}",,,reg write 0x183B 0x00,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""SIMETRA_UVWARN_L_HIGH"",""isparametric"":""YES"",""pattern"":""SoC\\s*GPIO\\[\\d*,\\d*\\]\\s*=\\s*(\\d+)""}",,,socgpio --pin 210 --get,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Set_Throttle_Outputs_Default"",""expect"":""OK""}",,,reg write 0x1839 0x00,,,
