document_version, 1.0
station_id,DFU-NAND-INIT
station_sw,DCSDPlugin
station_sw_version,505.4

tag,start_time,duration
Restore::DFU download, 1636401501.96, 1.33
Restore::Booting, 1636401503.29, 2.25
Restore::Connected to device, 1636401505.54, 0.90
Restore::Sending Apple logo to device, 1636401512.40, 4.53
Restore::Sending device tree to device, 1636401530.50, 1.49
Restore::Sending kernel cache to device, 1636401531.99, 1.53
Restore::Personalizing restore bundle, 1636401583.83, 1.95
Restore::Setting date and time on device, 1636401585.77, 0.15
Restore::Waiting for NAND, 1636401585.93, 0.09
Restore::Clearing NVRAM, 1636401622.76, 0.60
Restore::Creating partition map, 1636401623.36, 0.41
Restore::Creating filesystem, 1636401623.77, 3.31
Restore::Unmounting filesystems, 1636401597.79, 40.53
Restore::Restoring image, 1636401627.08, 17.69
Restore::Verifying restore, 1636401644.77, 1.81
Restore::Unmounting filesystems, 1636401646.58, 0.23
Restore::Checking filesystems, 1636401646.80, 1.25
Restore::Unrecognized operation (80), 1636401721.60, 3.96
Restore::Flashing firmware, 1636401725.56, 2.89
Restore::Unrecognized operation (80), 1636401728.45, 0.66
Restore::Requesting FUD data, 1636401729.11, 28.12
Restore::Updating gas gauge software, 1636401757.23, 0.16
Restore::Updating Stockholm, 1636401757.39, 5.20
Restore::Requesting FUD data, 1636401762.58, 2.28
Restore::Updating Veridian, 1636402031.17, 0.07
Restore::Updating AppleTCON, 1636402031.24, 0.08
Restore::Updating Savage, 1636402200.83, 5.62
Restore::Booting, 1636401533.52, 717.98
Restore::Creating Protected Volume, 1636402251.50, 4.39
Restore::Installing devicetree, 1636402255.88, 0.08
Restore::Modifying persistent boot-args, 1636402258.66, 1.58
Restore::Unmounting filesystems, 1636402260.24, 0.86
